EN,FR,ES,CS,DE,PL
coot,foulon,focha,Coot,Blässhuhn,łyska
cormorant,cormoran,cormorán,kormorán,Kormoran,kormoran
covey,covey,covey,covey,covey,covey
cowbird,bouvier,cowbird,cowbird,Kuhfänger,cowbird
crake,crake,crake,crake,Crake,krak
crane,grue,grúa,jeřáb,Kran,dźwig
creeper,liane,enredadera,creeper,Kriechgang,pnącze
crest,crête,cresta,erb,Wappen,herb
crossbill,bec croisé,crossbill,crossbill,Kreuzschnabel,krzyżak
crow,corbeau,cuervo,vrána,Krähe,wrona
cuckoo,coucou,cuco,kukačka,Kuckuck,kukułka
curlew,courlis,zarapito,curlew,Brachvogel,kulik
darter,dard,darter,šipka,Darter,darter
Dinornis,Dinornis,Dinornis,Dinornis,Dinornis,Dinornis
dove,colombe,paloma,holubice,Taube,gołąb
downy woodpecker,pic mineur,pájaro carpintero downy,datel černý,Dunenspecht,dzięcioł puchaty
duck,canard,pato,kachna,Ente,kaczka
eagle,aigle,águila,orel,Adler,orzeł
eastern bluebird,merle bleu de l'Est,pájaro azul oriental,modrásek východní,Rotkehl-Hüttensänger,niebieski ptak wschodni
egg,œuf,huevo,vejce,Ei,jajko
egret,aigrette,garceta,volavka,Seidenreiher,czapla
eider,eider,eider,eider,eider,edredon
emperor penguin,manchot empereur,pingüino emperador,tučňák císařský,Kaiserpinguin,pingwin cesarski
emu,emu,emu,emu,emu,emu
falcon,faucon,halcón,sokol,Falke,sokół
feather,plume,pluma,peří,Feder,pióro
finch,pinson,pinzón,finch,Fink,zięba
flamingo,flamant rose,flamenco,plameňák,Flamingo,flaming
fledge,s'envoler,fledge,fledge,flüchten,siew
fledgling,naissant,incipiente,začínající,Jungtiere,młody
flicker,scintillement,parpadeo,blikání,Flimmern,migotanie
flight,vol,vuelo,let,Flug,lot
flight feathers,plumes de vol,plumas de vuelo,letové peří,Flugfedern,pióra lotnicze
flightless,inapte au vol,no volador,nelétavý,flugunfähig,nielotny
flock,troupeau,flock,hejno,Flocke,stado
fly,voler,mosca,fly,Fliege,latać
flycatcher,moucheron,papamoscas,mucholapka,Flycatcher,muchołówka
fowl,volaille,ave,ptactvo,Hühner,ptactwo
frigatebird,oiseau frigorigène,fragata,frigatebird,Fregattvogel,fregata
gander,jars,gander,gander,Gander,gąsior
gizzard,gésier,molleja,žaludek,Kaumagen,żołądek
gnatcatcher,moucheron,mosquitero,chřástal,Zwergschnäpper,gnatcatcher
golden eagle,aigle royal,águila real,orel skalní,Steinadler,orzeł przedni
goldfinch,chardonneret,jilguero,zlatohlávek,Stieglitz,szczygieł
goose,oie,ganso,husí,Gans,gęś
grackle,grèbe,Grackle,grackle,Grackle,trznadel
great egret,grande aigrette,garceta grande,volavka velká,Silberreiher,czapla biała
great horned owl,grand-duc d'Europe,búho cornudo,raroh velký,Waldohreule,wielka sowa rogata
grebe,grèbe,zampullín,grebe,Lappentaucher,perkoz
grosbeak,gros-bec,picogordo,grosbeak,Kernbeißer,głuszec
grouse,tétras,urogallo,tetřev,Raufußhühner,głuszec
gull,mouette,gaviota,racek,Möwe,mewa
gyrfalcon,faucon gerfaut,gyrfalcon,gyrfalcon,Gyrfalke,gyrfalcon
harpy eagle,aigle harpie,águila harpía,orel harpyje,Harpyienadler,orzeł harpia
Hawaiian goose,Oie hawaïenne,Ganso hawaiano,Havajská husa,Hawaiigans,Gęś hawajska
hawk,faucon,halcón,jestřáb,Habicht,jastrząb
hen,poule,hen,slepice,hen,kura
heron,héron,garza,volavka,Reiher,czapla
hoatzin,hoatzin,hoatzin,hoatzin,hoatzin,hoatzin
hummingbird,colibri,colibrí,kolibřík,Kolibri,koliber
ibis,ibis,ibis,ibis,ibis,ibis
Ichthyornis,Ichthyornis,Ichthyornis,Ichthyornis,Ichthyornis,Ichthyornis
incubate,incuber,incubar,inkubovat,bebrüten,inkubować
jackdaw,choucas,grajo,kavka,Dohle,kawka
jay,geai,jay,jay,jay,sójka
junco,junco,junco,junco,Junco,junco
kakapo,kakapo,kakapo,kakapo,Kakapo,kakapo
kestrel,faucon crécerelle,cernícalo,poštolka,Turmfalke,pustułka
kildeer,kildeer,kildeer,kildeer,kildeer,kildeer
kingbird,oiseau royal,martín pescador,kingbird,Amsel,zimorodek
kingfisher,martin-pêcheur,martín pescador,kingfisher,Eisvogel,zimorodek
kite,cerf-volant,cometa,drak,Drachen,latawiec
kiwi,kiwi,kiwi,kiwi,kiwi,kiwi
kookaburra,kookaburra,cucaburra,kookaburra,Kookaburra,kookaburra
lark,alouette,alondra,skřivan,Lerche,skowronek
leghorn,léghorn,leghorn,leghorn,Leghorn,leghorn
longspur,longicorne,longspur,longspur,Langsporn,longspur
loon,huard,somorgujo,loon,Seetaucher,bizon
lorikeet,loriquet,lorikeet,lorikeet,Lorikeet,lorikeet
macaw,ara,guacamayo,macaw,Aras,ara
magpie,pie,urraca,straka,Elster,sroka
mallard duck,canard colvert,ánade real,kachna divoká,Stockente,kaczka krzyżówka
marbled murrelet,guillemot marbré,mérgulo jaspeado,muréna mramorovaná,Marmorbrustvogel,marmurek
martin,martin,martin,martin,martin,martin
meadowlark,alouette,alondra de los prados,skřivan luční,Wiesenlerche,meadowlark
merganser,harle,esmerejón,merganser,Gänsesäger,nurogęś
migrate,migrer,migrar,migrovat,migrieren,migrować
migration,migration,migración,migrace,Migration,migracja
moa,moa,moa,moa,moa,moa
mockingbird,oiseau moqueur,sinsonte,drozda,Spottdrossel,szyderca
nandu,nandu,nandu,nandu,nandu,nandu
nene,nene,nene,nene,nene,nene
nest,nid,nido,hnízdo,Nest,gniazdo
nestling,oisillon,polluelo,hnízdění,Nestling,pisklę
nighthawk,faucon nocturne,nighthawk,nighthawk,Nachtschwärmer,nighthawk
nightingale,rossignol,ruiseñor,slavík,Nachtigall,słowik
nightjar,engoulevent,chotacabras,noční pták,Nachtschwalbe,skowronek
nutcracker,casse-noix,cascanueces,louskáček na ořechy,Nussknacker,dziadek do orzechów
nuthatch,sittelle,trepador azul,kavky,Kleiber,kowalik
oriole,oriole,oropéndola,oriole,Pirole,wilga
ornithologist,ornithologue,ornitólogo,ornitolog,Ornithologe,ornitolog
ornithology,ornithologie,ornitología,ornitologie,Ornithologie,ornitologia
oropendola,oropendola,oropéndola,oropendola,oropendola,oropendola
osprey,balbuzard,águila pescadora,orel mořský,Fischadler,rybołów
ostrich,autruche,avestruz,pštrosí,Strauß,struś
owl,hibou,búho,sova,Eule,sowa
oxpecker,oxpecker,oxpecker,oxpecker,oxpecker,oxpecker
parakeet,perruche,periquito,papoušek,Sittich,papużka
parrot,perroquet,loro,papoušek,Papagei,papuga
partridge,perdrix,perdiz,koroptev,Rebhuhn,kuropatwa
peacock,paon,pavo real,páv,Pfau,paw
peafowl,piaf,pavo real,peafowl,Pfau,paw
pelican,pélican,pelícano,pelikán,Pelikan,pelikan
penguin,pingouin,pingüino,tučňák,Pinguin,pingwin
peregrine falcon,faucon pèlerin,halcón peregrino,sokol stěhovavý,Wanderfalke,sokół wędrowny
petrel,pétrel,petrel,petrel,Sturmvogel,petrel
pigeon,pigeon,paloma,holub,Taube,gołąb
pintail,queue-de-pie,lavandera,Ostruháček obecný,Spießrutenlauf,szczygieł
plover,pluvier,chorlito,plover,Kiebitz,siewka
prairie chicken,poulet de prairie,pollo de las praderas,prérijní kuře,Präriehuhn,kurczak preriowy
ptarmigan,lagopède,ptarmigan,ptarmigan,Schneehuhn,ptarmigan
puffin,macareux,frailecillo,puffin,Papageientaucher,purchawka
pygmy owl,chouette pygmée,búho pigmeo,sovice trpasličí,Sperlingskauz,sowa karłowata
quail,caille,codorniz,křepelky,Wachtel,przepiórka
quetzal,quetzal,quetzal,quetzal,Quetzal,quetzal
rail,rail,carril,železnice,Schiene,szyna
raven,corbeau,cuervo,raven,Rabe,kruk
razorbill,pingouin,alca,Razorbill,Tordalk,brzytwa
red hooded duck,canard à capuchon rouge,pato con capucha roja,kachna s červenou kapucí,rote Kapuzenente,kaczka z czerwonym kapturem
red-billed oxpecker,pic à bec rouge,búho real,volavka rudozobá,Rotschnabel-Madenhacker,dzięcioł czerwonodzioby
red-tailed hawk,buse à queue rousse,halcón de cola roja,jestřáb červenoocasý,Rotschwanzbussard,jastrząb z czerwonym ogonem
redwing,rousse,redwing,redwing,Rotflügel,czerwonoskrzydły
rhea,Rhéa,ñandú,rhea,rhea,reja
Rhode Island red,Rhode Island rouge,Rhode Island rojo,Rhode Island červená,Rhode Island rot,Czerwony Rhode Island
ring-billed gull,goéland à bec cerclé,gaviota cabecinegra,racek kroužkovaný,Ringschnabelmöwe,mewa obrączkowana
roadrunner,coureur des routes,correcaminos,roadrunner,Roadrunner,roadrunner
robin,robin,robin,robin,robin,robin
rock dove,colombe des rochers,paloma de roca,skalní holubice,Felsentaube,gołąb skalny
rock pigeon,pigeon biset,paloma de roca,holub skalní,Felsentaube,gołąb skalny
rockhopper penguin,manchot rockhopper,pingüino saltarrocas,tučňák skalní,Felsenpinguin,pingwin skalny
rook,rook,graja,Havran,.,gawron
rookery,rookery,colonia de grajos,houfnice,.,gawrona
roost,perchoir,percha,kohoutek,Schlafplatz,grzęda
rooster,coq,gallo,kohout,Hahn,kogut
roseate spoonbill,spatule rosée,espátula rosada,lžičák pestrý,Rosalöffler,różanka
ruby-throated hummingbird,colibri à gorge rubis,colibrí garganta rubí,kolibřík rubínový,Rubinkehlkolibri,koliber rubinowy
sandpiper,bécasseau,correlimos,písečník,Strandläufer,żmija piaskowa
scarlet macaw,ara écarlate,guacamaya roja,makak šarlatový,Arakanga,ara szkarłatna
screech owl,chouette effraie,búho chillón,sova pisklavá,Kreischeule,piskliwa sowa
scrub jay,maillot de bain,scrub jay,křoví sojka,Büffelhäher,scrub jay
seabird,oiseau de mer,aves marinas,mořští ptáci,Seevogel,ptak morski
shearwater,Puffin,pardela,shearwater,Sturmtaucher,shearwater
shore bird,oiseau de rivage,ave costera,pobřežní pták,Ufervogel,ptak brzegowy
shrike,pie-grièche,alcaudón,shrike,Shrike,gąsior
skylark,alouette,alondra,skřivan,Lerche,świetlik
snipe,bécassine,agachadiza,snipe,Schnepfe,bekas
snow goose,oie des neiges,ganso de nieve,sněžná husa,Schneegans,gęś śnieżna
snowbirds,snowbirds,snowbirds,sněžní ptáci,Schneevögel,ptaki śnieżne
snowy owl,hibou des neiges,búho nival,sněžná sova,Schneeeule,sowa śnieżna
songbird,oiseau chanteur,pájaro cantor,zpěvný pták,Singvogel,ptak śpiewający
sparrow,moineau,gorrión,vrabec,Sperling,wróbel
spoonbill,spatule,espátula,lžičák,Löffler,spoonbill
spotted owl,chouette tachetée,búho moteado,sova pálená,Fleckenkauz,sowa cętkowana
starling,étourneau,estornino,špaček,Sternchen,szpak
stint,séjour,temporada,stint,Pensum,stint
stork,cigogne,cigüeña,čáp,Storch,bocian
swallow,avaler,tragar,vlaštovka,Schwalbe,jaskółka
swan,cygne,cisne,labuť,Schwan,łabędź
swift,rapide,rápido,swift,flink,szybki
syrinx,syrinx,siringe,syrinx,Syrinx,syrinx
tail,queue,cola,ocas,Schwanz,ogon
tanager,tamanoir,tangara,tanager,Tanager,tanager
tern,terne,tern,tern,tern,rybitwa
thrasher,chasseur de primes,thrasher,thrasher,thrasher,thrasher
thrush,grive,muguet,drozd,Drossel,drozd
toucan,toucan,tucán,toucan,Tukan,tukan
trumpeter swan,cygne trompette,cisne trompetero,labuť trubač,Trompeterschwan,łabędź trębacz
turkey,dinde,pavo,krocan,Truthahn,indyk
turtle dove,tortue colombe,tórtola,želva holubice,Turteltaube,żółw gołąb
umbrellabird,oiseau parapluie,pájaro paraguas,umbrellabird,schirmvogel,parasolka
vireo,viréo,vireo,vireo,Vireo,vireo
vulture,vautour,buitre,supi,Geier,sęp
warbler,fauvette,curruca,slavík,Grasmücke,warbler
waterthrush,jonc d'eau,waterthrush,vodní drozd,Wasserdrossel,drozd wodny
waxwing,jaseur,waxwing,voskovka,Wachsflügel,woskownica
western meadowlark,alouette des champs,alondra pratense occidental,skřivan polní,westliche Wiesenlerche,skowronek łąkowy
western spotted owl,chouette tachetée de l'Ouest,búho moteado occidental,sova pálená západní,westlicher Fleckenkauz,zachodnia sowa plamista
whip-poor-will,fouet-pauvre-veille,whip-poor-will,whip-poor-will,peitschen-armer-wille,bat-poor-will
white dove,colombe blanche,paloma blanca,bílá holubice,weiße Taube,biały gołąb
white pelican,pélican blanc,pelícano blanco,pelikán bílý,weißer Pelikan,biały pelikan
wing,aile,ala,křídlo,Flügel,skrzydło
wood thrush,grive des bois,tordo de bosque,drozda lesního,Walddrossel,drozd leśny
woodpecker,pivert,pájaro carpintero,datel,Buntspecht,dzięcioł
wren,roitelet,wren,wren,Zaunkönig,wren
Xenops,Xenops,Xenops,Xenops,Xenops,Xenops
yellowthroat,gorge jaune,garganta amarilla,žluťásek,Gelbkehlchen,gardło żółte
