EN,FR,ES,CS,DE,PL
lose,perdre,perder,ztratit,verlieren,przegrać
loser,perdant,perdedor,loser,Verlierer,przegrany
luge,luge,luge,sáňky,Rodeln,saneczkarstwo
lutz,lutz,lutz,lutz,lutz,lutz
major league,ligue majeure,liga mayor,první liga,große Liga,główna liga
mallet,maillet,mazo,palička,Schlegel,młotek
martial arts,arts martiaux,artes marciales,bojová umění,Kampfsportarten,sztuki walki
mat,mat,mat,mat,matte,mata
medal,médaille,medalla,medaile,Medaille,medal
minor league,ligue mineure,liga menor,nižší liga,kleinere Liga,niższa liga
mitt,mitaine,mitt,mitt,mitt,rękawica
mouthguard,protège-dents,protector bucal,chránič zubů,Mundschutz,ochraniacz
move,déplacer,mover,přesunout,umziehen,ruch
movement,mouvement,movimiento,pohyb,Bewegung,ruch
MVP,MVP,MVP,MVP,MVP,MVP
net,net,red,net,Netz,netto
no-hitter,no-hitter,no-hitter,no-hitter,no-hitter,no-hitter
Nordic skiing,Ski nordique,Esquí nórdico,Severské lyžování,Skilanglauf,Narciarstwo klasyczne
offense,offense,delito,přestupek,Offensive,wykroczenie
ollie,ollie,ollie,ollie,ollie,ollie
Olympics,Jeux olympiques,Olimpiadas,Olympijské hry,Olympische Spiele,Olimpiada
orienteering,course d'orientation,orientación,orientační běh,Orientierungslauf,bieg na orientację
out,sortir,fuera,ven,aus,na zewnątrz
outfield,champ extérieur,campo,outfield,Außenbereich,pole zewnętrzne
outfielder,joueur de champ,centrocampista,hráč v poli,Außenstürmer,pomocnik
paddle,pagaie,paleta,pádlo,Paddel,wiosło
paddleball,padel,pádel,paddleball,Paddelball,paddleball
paddling,pagaie,remando,pádlování,Paddeln,wiosłowanie
paintball,paintball,paintball,paintball,Paintball,paintball
parasailing,parachute ascensionnel,parasailing,parasailing,Parasailing,parasailing
parkour,parkour,parkour,parkour,Parkour,parkour
pentathlon,pentathlon,pentatlón,pětiboj,Fünfkampf,pięciobój
pickleball,pickleball,pickleball,pickleball,pickleball,pickleball
ping pong,ping pong,ping pong,ping pong,Ping Pong,ping pong
pitch,hauteur,paso,rozteč,Stellplatz,podziałka
pitcher,lanceur,lanzador,džbán,Krug,miotacz
play,jouer,jugar,přehrát,spielen,grać
player,joueur,jugador,hráč,Spieler,gracz
playing,jouer,jugando a,hraní,Spielen,gra
playoffs,éliminatoires,playoffs,play-off,Playoffs,playoffy
pogo stick,bâton de pogo,palo de pogo,pogo tyč,Springstab,drążek pogo
pole,pôle,poste,pól,Stange,słup
pole vault,saut à la perche,salto con pértiga,skok o tyči,Stabhochsprung,skok o tyczce
polo,polo,polo,polo,polo,polo
pool,piscine,piscina,bazén,Pool,basen
puck,palet,disco,puk,Puck,krążek
quarter,trimestre,trimestre,čtvrtletí,Quartal,kwartał
quarterback,quarterback,mariscal de campo,rozehrávač,Quarterback,rozgrywający
quiver,carquois,carcaj,quiver,Köcher,kołczan
race,course,carrera,závod,Ethnie,wyścig
racer,coureur,corredor,závodník,Rennfahrer,zawodnik
racewalking,marche athlétique,marcha atlética,racewalking,Rennradfahren,racewalking
racing,course,carreras,závodní,Rennsport,wyścigi
racket,raquette,raqueta,raketa,Schläger,rakieta
racquetball,racquetball,raquetbol,racquetball,Racquetball,racquetball
rafting,rafting,rafting,rafting,Rafting,rafting
referee,arbitre,árbitro,rozhodčí,Schiedsrichter,sędzia
relay,relais,relé,relé,Relais,przekaźnik
ride,manège,paseo,jízda,Fahrt,jazda
riding,circonscription,montar a caballo,jízda na koni,Reiten,jazda
rink,patinoire,pista,kluziště,Eisbahn,lodowisko
rock climbing,escalade,escalada en roca,horolezectví,Klettern,wspinaczka skałkowa
roller skates,patins à roulettes,patines de ruedas,kolečkové brusle,Rollerskates,wrotki
roller skating,patinage à roulettes,patinaje sobre ruedas,jízda na kolečkových bruslích,Rollschuhlaufen,jazda na rolkach
row,rangée,fila,řádek,Zeile,rząd
rower,rameur,remo,veslař,Ruderer,wioślarz
rowing,aviron,remo,veslování,Rudern,wioślarstwo
rugby,rugby,rugby,rugby,Rugby,rugby
run,courir,ejecute,spustit,laufen.,bieg
runner,coureur,corredor,běžec,Läufer,biegacz
running,en cours d'exécution,corriendo,běh,läuft,bieganie
sailing,voile,navegar,plachtění,Segeln,żeglarstwo
score,score,puntuación,skóre,Ergebnis,wynik
scoreboard,tableau d'affichage,marcador,výsledková tabule,Anzeigetafel,tablica wyników
scuba,plongée,buceo,potápění,Tauchen,akwalung
scull,godille,scull,lebka,Skull,czaszka
sculling,godille,sculling,veslování,Skulling,sculling
shortstop,arrêt court,shortstop,shortstop,Shortstop,shortstop
shot put,lancer du poids,lanzamiento de peso,vrh koulí,Kugelstoßen,pchnięcie kulą
silver medal,médaille d'argent,medalla de plata,stříbrná medaile,Silbermedaille,srebrny medal
skate,patiner,skate,skate,Schlittschuhlaufen,łyżwa
skating rink,patinoire,pista de patinaje,kluziště,Eislaufbahn,lodowisko
skeleton,squelette,esqueleto,kostra,Skelett,szkielet
ski,ski,esquiar,lyže,Ski,narty
skier,skieur,esquiador,lyžař,Skifahrer,narciarz
skiing,ski,Esquí,lyžování,Skifahren,narciarstwo
slalom,slalom,eslalon,slalom,Slalom,slalom
sled,traîneau,trineo,sáně,Schlitten,sanki
sledder,luge,trineo,sáně,Schlitten,sanki
sledding,luge,trineo,sáňkování,Schlittenfahren,sanki
snorkeling,plongée en apnée,esnórquel,šnorchlování,Schnorcheln,snorkeling
snowboard,planche à neige,snowboard,snowboard,Snowboard,snowboard
snowboarder,snowboarder,snowboarder,snowboardista,Snowboarder,snowboardzista
snowboarding,snowboard,snowboard,snowboarding,Snowboarden,snowboard
snowshoeing,raquettes à neige,raquetas de nieve,chůze na sněžnicích,Schneeschuhwandern,rakiety śnieżne
soccer,football,fútbol,fotbal,Fußball,piłka nożna
softball,softball,softball,softball,Softball,softball
somersault,saut périlleux,salto mortal,salto,Purzelbaum,salto
speed skating,patinage de vitesse,patinaje de velocidad,rychlobruslení,Eisschnelllauf,łyżwiarstwo szybkie
sport,sport,deporte,sport,Sport,sport
sportsmanship,esprit sportif,deportividad,sportovní chování,Sportlichkeit,sportowa postawa
squash,courge,calabaza,squash,Squash,squash
stadium,stade,estadio,stadion,Stadion,stadion
stick,bâton,palo,tyč,Stick,kij
strike,grève,huelga,stávka,streiken,strajk
stroke,accident vasculaire cérébral,accidente cerebrovascular,mrtvice,Schlaganfall,udar
Sumo wrestling,Lutte sumo,Lucha de sumo,Zápas sumo,Sumo-Ringen,Zapasy sumo
surfer,surfeur,surfista,surfař,Surfer,surfer
surfing,surf,surf,surfování,Surfen,surfowanie
swim,nager,nadar,plavání,Schwimmen,pływać
swimmer,nageur,nadador,plavec,Schwimmer,pływak
swimming,natation,natación,plavání,Schwimmen,pływanie
synchronized swimming,la natation synchronisée,natación sincronizada,synchronizované plavání,Synchronschwimmen,pływanie synchroniczne
table tennis,tennis de table,tenis de mesa,stolní tenis,Tischtennis,tenis stołowy
taekwondo,taekwondo,taekwondo,taekwondo,Taekwondo,taekwondo
tag,étiquette,etiqueta,tag,Tag,tag
target,cible,objetivo,cíl,Ziel,cel
team,équipe,equipo,tým,Team,zespół
teammate,coéquipier,compañero de equipo,spoluhráč,Teamkollege,kolega z drużyny
tee,tee,te,tee,Abschlag,koszulka
telemark skiing,ski télémark,esquí de telemark,telemarkové lyžování,Telemark-Skifahren,narciarstwo telemarkowe
tennis,tennis,tenis,tenis,Tennis,tenis
tetherball,balle en l'air,tetherball,tetherball,Tetherball,tetherball
throw,lancer,tirar,hodit,werfen,rzut
throwing,lancer,lanzando,házení,Werfen,rzucanie
tie,cravate,corbata,kravata,Krawatte,remis
toboggan,toboggan,tobogán,sáňky,Toboggan,tobogan
track and field,athlétisme,atletismo,atletika a pole,Leichtathletik,lekkoatletyka
trampoline,trampoline,trampolín,trampolína,Trampolin,trampolina
triathlete,triathlète,triatleta,triatlonista,triathlet,triathlonista
triathlon,triathlon,triatlón,triatlon,Triathlon,triathlon
triple jump,triple saut,triple salto,trojitý skok,Dreisprung,trójskok
triple play,triple jeu,juego triple,trojí hra,Dreifachspiel,triple play
tug of war,lutte à la corde,tira y afloja,přetahování lanem,Tauziehen,przeciąganie liny
ultramarathon,ultramarathon,ultramaratón,ultramaraton,Ultramarathon,ultramaraton
ultramarathoner,ultramarathonien,ultramaratonista,ultramaratonec,Ultramarathonläufer,ultramaratończyk
umpire,arbitre,árbitro,rozhodčí,schiedsrichter,sędzia
unicycle,monocycle,monociclo,jednokolka,Einrad,monocykl
unicyclist,monocycliste,monociclista,jednokolkář,Einradfahrer,monocyklista
uniform,uniforme,uniforme,jednotný,einheitlich,mundur
vault,coffre-fort,bóveda,trezor,Tresor,skarbiec
vaulter,sauteur,saltador,vaulter,Voltigierer,kulomiot
vaulting,voltige,bóveda,klenutí,Voltigieren,sklepienie
visiting team,équipe en visite,equipo visitante,hostující tým,Gastmannschaft,zespół odwiedzający
volley,volée,volea,volley,Volley,salwa
volley ball,volley-ball,voleibol,volejbalový míč,Volleyball,siatkówka
wakeboarding,wakeboard,wakeboard,wakeboarding,Wakeboarden,wakeboarding
walk,marcher,caminar,procházka,Spaziergang,spacer
walker,marcheur,walker,walker,Walker,piechur
walking,marche,caminando,chůze,Wandern,chodzenie
water polo,water-polo,waterpolo,vodní pólo,Wasserball,piłka wodna
water ski,ski nautique,esquí acuático,vodní lyže,Wasserski,narty wodne
water skier,skieur nautique,esquiador acuático,vodní lyžař,Wasserskifahrer,narciarz wodny
water skiing,ski nautique,esquí acuático,vodní lyžování,Wasserski,narciarstwo wodne
weightlifter,haltérophile,levantador de pesas,vzpěrač,Gewichtheber,ciężarowiec
weightlifting,haltérophilie,halterofilia,vzpírání,Gewichtheben,podnoszenie ciężarów
weights,poids,pesos,závaží,Gewichte,ciężary
wetsuit,combinaison de plongée,traje de neopreno,skafandr,Neoprenanzug,pianka
white water rafting,rafting en eaux vives,rafting en aguas bravas,rafting na divoké vodě,Wildwasser-Rafting,rafting
wicket,guichet,wicket,branka,Törchen,furtka
win,gagner,ganar,vyhrát,gewinnen,zwycięstwo
windsurfer,véliplanchiste,windsurfista,windsurfing,Windsurfer,windsurfer
windsurfing,planche à voile,windsurf,windsurfing,Windsurfen,windsurfing
winner,vainqueur,ganador,vítěz,Gewinner,zwycięzca
winning,gagner,ganador,vítězný,gewinnen,zwycięski
World Cup,Coupe du monde,Copa del Mundo,Světový pohár,Weltmeisterschaft,Puchar Świata
World Series,Série mondiale,Series Mundiales,Světová série,Weltmeisterschaft,World Series
wrestler,lutteur,luchador,zápasník,Wrestler,zapaśnik
wrestling,lutte,lucha,wrestling,Wrestling,zapasy
