EN,FR,ES,CS,DE,PL
billet,billette,palanquilla,polotovar,Knüppel,kęs
bivouac,bivouac,vivac,bivak,Biwak,biwak
bomb,bombe,bomba,bomba,Bombe,bomba
bombard,bombarde,bombardear,bombardovat,bombardieren,bombardować
bombardment,bombardement,bombardeo,bombardování,Bombardierung,bombardowanie
bow and arrow,arc et flèches,arco y flecha,luk a šíp,Pfeil und Bogen,łuk i strzała
brig,brig,bergantín,brigáda,brig,brygada
brigade,brigade,brigada,brigáda,Brigade,brygada
bullet,balle,bala,kulka,Aufzählung,kula
cadet,cadet,cadete,kadet,Kadett,kadet
camouflage,camouflage,camuflaje,kamufláž,Tarnung,kamuflaż
camp,camp,campamento,tábor,Lager,obóz
cannon,canon,cañón,dělo,Kanone,armata
cannon ball,boulet de canon,bala de cañón,dělová koule,Kanonenkugel,kula armatnia
canteen,cantine,comedor,jídelna,Kantine,stołówka
captain,capitaine,capitán,kapitán,Kapitän,kapitan
capture,capturer,captura,zachycení,erfassen,przechwytywanie
carrier,transporteur,portador,nosič,Träger,przewoźnik
casualty,victime,siniestros,nehody,Unfall,wypadek
catapult,catapulte,catapulta,katapult,Katapult,katapulta
cavalry,cavalerie,caballería,kavalerie,Kavallerie,kawaleria
chaplain,aumônier,capellán,kaplan,Kaplan,kapelan
coast guard,garde-côtes,guardacostas,pobřežní stráž,Küstenwache,straż przybrzeżna
colonel,colonel,coronel,plukovník,Oberst,pułkownik
combat,combat,combate,bojové,Kampf,walka
command,commande,comando,příkaz,Befehl,polecenie
commander,commandant,comandante,velitel,Kommandeur,dowódca
commanding officer,commandant,oficial al mando,velící důstojník,kommandierender Offizier,dowódca
commission,Commission,comisión,komise,Kommission,prowizja
company,entreprise,empresa,společnost,Unternehmen,firma
conflict,conflit,conflicto,konflikt,Konflikt,konflikt
conquest,conquête,conquista,dobývání,Eroberung,podbój
conscription,conscription,reclutamiento,odvody,Wehrpflicht,pobór
convoy,convoi,convoy,konvoj,Konvoi,konwój
corporal,caporal,corporal,tělesné,Korporal,kapral
corps,corps,cuerpo,sbor,corps,korpus
covert,secret,encubierto,skryté,verdeckt,ukryty
crew,équipage,tripulación,posádka,Mannschaft,załoga
decode,décoder,descodificar,dekódování,dekodieren,dekodowanie
defeat,défaite,vencer,porazit,besiegen,porażka
defend,défendre,defender,bránit,verteidigen,bronić
defense,défense,defensa,obrana,Verteidigung,obrona
destroyer,destructeur,destructor,torpédoborec,Zerstörer,niszczyciel
detonate,exploser,detonar,odpálit,detonieren,detonować
division,division,división,divize,Abteilung,podział
dog tags,étiquettes pour chiens,placas de identificación,psí známky,Hundemarken,nieśmiertelniki
draft,projet,borrador,návrh,Entwurf,projekt
encampment,campement,campamento,tábor,Lager,obozowisko
encode,coder,codificar,kódování,verschlüsseln,kodować
enemy,ennemi,enemigo,nepřítel,Feind,wróg
engage,s'engager,participar,zapojit,einschalten.,zaangażowanie
enlist,s'enrôler,alistarse,zapsat se na,anwerben.,zaciągnąć się
ensign,enseigne,alférez,praporčík,Fähnrich,chorąży
epaulet,épaulette,charretera,nárameník,Epaulette,epolet
evacuate,évacuer,evacuar,evakuovat,evakuieren.,ewakuować się
explosive,explosif,explosivo,výbušnina,explosiv,wybuchowy
field hospital,hôpital de campagne,hospital de campaña,polní nemocnice,Feldlazarett,szpital polowy
field marshal,maréchal de camp,mariscal de campo,polní maršál,Feldmarschall,marszałek polowy
fight,combattre,lucha,boj,kämpfen,walka
fire,incendie,fuego,požár,Feuer,ogień
fireteam,équipe de pompiers,equipo de bomberos,hasičský tým,Feuerwehrteam,fireteam
fleet,flotte,flota,vozový park,Flotte,flota
flotilla,flottille,flotilla,flotila,Flottille,flotylla
force,force,fuerza,force,Kraft,siła
formation,formation,formación,formace,Bildung,formacja
fort,fort,fuerte,pevnost,Fort,fort
fortification,fortification,fortificación,fortifikace,Anreicherung,fortyfikacja
front,avant,frente,přední,Vorderseite,przód
furlough,congé,permiso,pracovní volno,Urlaub,urlop
garrison,garnison,guarnición,posádka,Garnison,garnizon
general,général,general,obecný,allgemein,ogólny
Geneva Convention,Convention de Genève,Convención de Ginebra,Ženevská úmluva,Genfer Konvention,Konwencja genewska
grenade,grenade,granada,granát,Granate,granat
grenade launcher,lance-grenades,lanzagranadas,granátomet,Granatwerfer,granatnik
grunt,grogner,gruñido,grunt,Grunzen,chrząknięcie
guerrilla,guérilla,guerrilla,guerilla,Guerrilla,partyzantka
gun,pistolet,pistola,zbraň,Waffe,pistolet
gunner,tireur,artillero,střelec,Kanonier,strzelec
gunnery sergeant,sergent d'artillerie,sargento de artillería,seržant dělostřelectva,Artilleriefeldwebel,sierżant artylerii
gunpowder,poudre à canon,pólvora,střelný prach,Schießpulver,proch
headquarters,le siège,sede,ústředí,Hauptsitz,centrala
helmet,casque,casco,přilba,Helm,kask
honor,honneur,honor,čest,ehren,honor
hospital,hôpital,hospital,nemocnice,Krankenhaus,szpital
howitzer,obusier,obús,houfnice,Haubitze,haubica
infantry,infanterie,infantería,pěchota,Infanterie,piechota
injury,blessure,lesión,zranění,Verletzung,uraz
insignia,insignes,insignia,insignie,Insignien,insygnia
intelligence,le renseignement,inteligencia,zpravodajství,Intelligenz,inteligencja
invade,envahir,invadir,napadnout,eindringen.,inwazja
invasion,invasion,invasión,invaze,Invasion,inwazja
jeep,jeep,jeep,jeep,Jeep,jeep
jet,jet,jet,jet,jet,strumień
kill,tuer,matar,zabít,töten,zabić
lance corporal,caporal suppléant,cabo segundo,svobodník,Obergefreiter,kapral
leave,quitter,dejar,opustit,verlassen.,urlop
lieutenant,lieutenant,teniente,poručík,Leutnant,porucznik
lose,perdre,perder,ztratit,verlieren,przegrać
machete,machette,machete,mačeta,Machete,maczeta
major,majeur,principal,hlavní,Haupt,główny
maneuver,manœuvre,maniobra,manévr,Manöver,manewr
marines,marines,marines,námořní pěchota,Marineinfanterie,marines
marksman,tireur d'élite,tirador,marksman,Schütze,strzelec wyborowy
medal,médaille,medalla,medaile,Medaille,medal
medic,médecine,médico,zdravotník,Sanitäter,medyk
mess hall,mess,comedor,jídelna,Messehalle,mesa
MIA,MIA,MIA,MIA,MIA,MIA
midshipman,aspirant,guardiamarina,midshipman,Fähnrich,midszypmen
military,militaire,militar,armáda,Militär,wojskowy
mine,mine,mina,důl,meine,kopalnia
missile,missile,misil,rakety,Rakete,pocisk
mortar,mortier,mortero,malta,Mörtel,zaprawa
munition,munition,munición,munice,Munition,amunicja
musket,mousquet,mosquete,mušketa,Muskete,muszkiet
national security,sécurité nationale,seguridad nacional,národní bezpečnost,nationale Sicherheit,bezpieczeństwo narodowe
navy,marine,marina,námořnictvo,navy,marynarka
neutral,neutre,neutro,neutrální,neutral,neutralny
night-vision goggles,lunettes de vision nocturne,gafas de visión nocturna,brýle pro noční vidění,Nachtsichtbrille,gogle noktowizyjne
offense,offense,delito,přestupek,Offensive,wykroczenie
officer,agent,oficial,důstojník,Offizier,oficer
ordinance,ordonnance,ordenanza,nařízení,Verordnung,rozporządzenie
parachute,parachute,paracaídas,padák,Fallschirm,spadochron
paratrooper,parachutiste,paracaidista,výsadkář,Fallschirmjäger,spadochroniarz
peace,la paix,paz,mír,Frieden,pokój
peace treaty,traité de paix,tratado de paz,mírová smlouva,Friedensvertrag,traktat pokojowy
pentagon,pentagone,pentágono,pentagon,Fünfeck,pięciokąt
petty officer,quartier-maître,contramaestre,poddůstojník,Marineoffizier,bosman
plane,avion,avión,letadlo,Flugzeug,samolot
platoon,peloton,pelotón,četa,Zug,pluton
post,poste,Correo electrónico:,příspěvek,Beitrag,stanowisko
POW,POW,POW,POW,POW,POW
prisoner of war,prisonnier de guerre,prisionero de guerra,válečný zajatec,Kriegsgefangener,jeniec wojenny
private,privé,privado,soukromé,privat,prywatny
PT boat,Bateau PT,Barco PT,Loď PT,PT Boot,Łódź PT
Purple Heart,La médaille d'honneur,Corazón Púrpura,Purpurové srdce,Verwundetenabzeichen,Purpurowe Serce
quartermaster,quartier-maître,intendente,quartermaster,Quartiermeister,kwatermistrz
radar,radar,radar,radar,Radar,radar
rank,rang,rango,hodnost,Rang,ranga
reconnoiter,reconnaître,reconocer,reconnoiter,Erkundung,rekonesans
recruit,recruter,contratar,nábor,anwerben.,rekrutacja
regiment,régiment,regimiento,pluk,Regiment,pułk
rescue,sauvetage,rescate,záchrana,Rettung,ratunek
reserves,réserves,reservas,rezervy,Reserven,rezerwy
retreat,retraite,retiro,ústup,Rückzug,odwrót
ribbon,ruban,cinta,stuha,Farbband,wstążka
rifle,fusil,rifle,puška,Gewehr,karabin
rocket artillery,artillerie à roquettes,artillería de cohetes,raketové dělostřelectvo,Raketenartillerie,artyleria rakietowa
sabotage,sabotage,sabotaje,sabotáž,sabotieren,sabotaż
sailor,marin,marinero,námořník,Seemann,żeglarz
salute,saluer,saludar,pozdrav,grüßen,pozdrowienie
salvo,salve,salvo,salva,Salve,salwa
seaman,marin,marinero,námořník,Seemann,marynarz
section,section,sección,sekce,Abschnitt,sekcja
sergeant,sergent,sargento,seržant,Unteroffizier,sierżant
service,service,servicio,služba,Dienstleistung,usługa
shell,coquille,concha,shell,Shell,powłoka
shoot,tirer,dispara,střílet,schießen,strzelać
shot,tir,disparo,shot,Schuss,strzał
siege,siège,asedio,obléhání,Belagerung,oblężenie
sniper,tireur d'élite,francotirador,odstřelovač,Scharfschütze,snajper
soldier,soldat,soldado,voják,Soldat,żołnierz
spear,lance,lanza,oštěp,Speer,włócznia
specialist,spécialiste,especialista,specialista,Spezialist,specjalista
squad,équipe,escuadrón,oddíl,Mannschaft,skład
squadron,escadron,escuadrón,letka,Geschwader,eskadra
staff,le personnel,personal,zaměstnanci,Mitarbeiter,personel
star,étoile,estrella,hvězda,Stern,gwiazda
stockade,palissade,stockade,stockade,Stockade,składowisko
submarine,sous-marin,submarino,ponorka,U-Boot,łódź podwodna
surrender,se rendre,entrega,vzdát se,Kapitulation,poddanie się
tactical,tactique,táctico,taktické,taktisch,taktyczny
tactics,tactique,tácticas,taktika,Taktik,taktyka
tank,réservoir,depósito,nádrž,Tank,zbiornik
task force,groupe de travail,grupo de trabajo,pracovní skupina,Einsatzgruppe,grupa zadaniowa
theater,théâtre,teatro,divadlo,Theater,teatr
tomahawk,tomahawk,tomahawk,tomahawk,Tomahawk,tomahawk
torpedo,torpille,torpedo,torpéda,Torpedo,torpeda
troops,troupes,tropas,jednotky,Truppen,oddziały
truce,trêve,tregua,příměří,Waffenstillstand,rozejm
uniform,uniforme,uniforme,jednotný,einheitlich,mundur
unit,unité,unidad,jednotka,Einheit,jednostka
veteran,vétéran,veterano,veterán,Veteran,weteran
volley,volée,volea,volley,Volley,salwa
war,guerre,guerra,válka,Krieg,wojna
warfare,guerre,guerra,válčení,Kriegsführung,działania wojenne
warrant officer,adjudant,oficial técnico,praporčík,Oberstabsfeldwebel,chorąży
warrior,guerrier,guerrero,válečník,Krieger,wojownik
weapon,arme,arma,zbraň,Waffe,broń
win,gagner,ganar,vyhrát,gewinnen,zwycięstwo
wound,blessure,herida,rána,Wunde,rana
yeoman,yeoman,yeoman,yeoman,Yeoman,yeoman
Zulu time,Heure zouloue,Hora zulú,Zulu čas,Zulu-Zeit,Czas Zulu
