EN,FR,ES,CS,DE,PL
box turtle,tortue boréale,tortuga de caja,želva skákavá,Sumpfschildkröte,żółw pudełkowy
boxer,boxeur,boxeador,boxer,Boxer,bokser
brittle star,étoile fragile,estrella frágil,křehká hvězda,Schlangenstern,krucha gwiazda
brown bear,ours brun,oso pardo,medvěd hnědý,Braunbär,niedźwiedź brunatny
brown pelican,pélican brun,pelícano pardo,pelikán hnědý,Braunpelikan,pelikan brunatny
buffalo,buffle,búfalo,buffalo,Büffel,bawół
bug,insecte,error,chyba,Fehler,błąd
bull,taureau,toro,bull,Bulle,byk
bull shark,requin taureau,tiburón toro,žralok býčí,Bullenhai,rekin byk
bull snake,serpent-taureau,serpiente toro,býčí had,Bullenschlange,wąż byk
bulldog,bouledogue,bulldog,buldok,Bulldogge,buldog
bullfrog,grenouille de taureau,rana toro,býčí žába,Ochsenfrosch,żaba byk
bumblebee,bourdon,abejorro,čmelák,Hummeln,trzmiel
bushbaby,bushbaby,bushbaby,bushbaby,bushbaby,bushbaby
butterfly,papillon,mariposa,motýl,Schmetterling,motyl
caiman,caïman,caimán,kajman,Kaiman,kajman
California sea lion,Lion de mer de Californie,León marino de California,Lachtan kalifornský,Kalifornischer Seelöwe,Lew morski kalifornijski
camel,chameau,camello,velbloud,Kamel,wielbłąd
Canada goose,Bernache du Canada,Ganso canadiense,Kanadská husa,Kanadagans,Gęś kanadyjska
canary,canari,canario,kanárek,Kanarienvogel,kanarek
cape buffalo,cap buffle,cabo de búfalo,bizoní mys,Kaffeesatzleserei,bawoli przylądek
Cape hunting dog,Chien de chasse du Cap,Perro de caza del Cabo,Myslivecký pes,Kap-Jagdhund,Pies myśliwski Cape
capybera,capybera,capybera,capybera,capybera,kapibera
caracal,caracal,caracal,karakal,Karakal,karakal
cardinal,cardinal,cardinal,kardinál,Kardinal,kardynał
caribou,caribou,caribú,karibu,Karibu,karibu
carnivora,carnivore,carnívora,carnivora,Carnivora,mięsożerca
carpenter ant,fourmi charpentière,hormiga carpintera,mravenec tesařík,Zimmermannsameise,mrówka cieśla
cassowary,casoar,casuario,kasuár,Kasuar,kazuar
cat,chat,cat,cat,Katze,kot
catamount,mont du chat,catamount,catamount,.,katamount
caterpillar,chenille,oruga,housenka,Raupe,gąsienica
cattle,bétail,ganado,dobytek,Vieh,bydło
cavy,caillebotis,cavy,cavy,Meerschweinchen,cavy
centipede,mille-pattes,ciempiés,stonožka,Tausendfüßler,stonoga
cephalpod,céphalode,cefalópodo,hlavohruď,Kopffüßer,głowonóg
chameleon,caméléon,camaleón,chameleon,Chamäleon,kameleon
cheetah,guépard,guepardo,gepard,Gepard,gepard
chickadee,mésange,chickadee,kuřátka,Meise,cietrzew
chicken,poulet,pollo,kuře,Huhn,kurczak
chihuahua,chihuahua,chihuahua,čivava,Chihuahua,chihuahua
chimipanzee,chimipanzee,chimipanzee,chimipanzee,chimipanzee,chimipanzee
chinchilla,chinchilla,chinchilla,činčila,chinchilla,szynszyla
chipmunk,tamia,ardilla listada,chipmunk,Streifenhörnchen,wiewiórka
chiton,chiton,chitón,chiton,Chiton,chiton
chrysalis,chrysalide,crisálida,chrysalis,Puppenhaus,poczwarka
cicada,cigale,cigarra,cikády,Zikade,cykada
clam,palourde,almeja,škeble,Muschel,małż
clownfish,poisson clown,pez payaso,klaun,Clownfisch,błazenek
coati,coati,coati,coati,Nasenbär,coati
cobra,cobra,cobra,cobra,kobra,kobra
cockatoo,cacatoès,cacatúa,kakadu,Kakadu,kakadu
cockroach,cafard,cucaracha,šváb,Kakerlake,karaluch
cod,morue,bacalao,treska obecná,Kabeljau,dorsz
coelacanth,cœlacanthe,celacanto,coelacanth,Quastenflosser,koelakant
collared lizard,lézard à collier,lagarto de collar,ještěrka obojková,Kragenechse,jaszczurka zwinka
collared peccary,pécari à collier,pecarí de collar,pekari obojkový,Halsbandpekari,pekari z kołnierzem
collie,colley,collie,kolie,Collie,collie
colugo,colugo,colugo,colugo,colugo,colugo
common rhea,Rhéa commun,ñandú común,rehea obecná,Nilheu,reja zwyczajna
companion dog,chien de compagnie,perro de compañía,pes společník,Begleithund,pies do towarzystwa
conch,conque,concha,conch,Muschel,koncha
cookiecutter shark,requin cookiecutter,tiburón cookiecutter,žralok kuchařský,Zigarrenkutterhai,rekin ciasteczkowy
copepod,copépode,copépodos,kopepoda,Copepoden,widłonóg
copperhead snake,serpent à tête de cuivre,serpiente cabeza de cobre,užovka měděná,Kupferkopfschlange,wąż miedziogłowy
coral,corail,coral,korál,Koralle,koral
coral snake,serpent corail,serpiente de coral,korálový had,Korallenschlange,wąż koralowy
corn snake,serpent de maïs,serpiente de maíz,kukuřičný had,Kornnatter,wąż kukurydziany
cottonmouth,bouche de coton,boca de algodón,bavlník,Baumwollmaul,wataha
cougar,couguar,puma,puma,Puma,puma
cow,vache,vaca,kráva,Kuh,krowa
coyote,coyote,coyote,kojot,Kojote,kojot
coypu,ragondin,coypu,coypu,coypu,nutria
crab,crabe,cangrejo,krab,Krabbe,krab
crane,grue,grúa,jeřáb,Kran,dźwig
crayfish,écrevisse,cangrejo de río,raci,Flusskrebse,rak
cricket,cricket,cricket,kriket,Kricket,krykiet
crocodile,crocodile,cocodrilo,krokodýl,Krokodil,krokodyl
crow,corbeau,cuervo,vrána,Krähe,wrona
crustacean,crustacé,crustáceo,korýši,Krustentiere,skorupiak
Cryptoclidus,Cryptoclidus,Cryptoclidus,Cryptoclidus,Cryptoclidus,Cryptoclidus
cuttlefish,seiche,sepia,sépie,Tintenfisch,mątwa
cutworm,ver gris,gusano cortador,střihač,Cutworm,mątewka
Dachshund,Teckel,Teckel,Jezevčík,Dackel,Jamnik
dall sheep,mouton dall,oveja de dall,ovce dall,Dickhornschaf,owce dall
Dall's porpoise,Marsouin de Dall,Marsopa de Dall,Sviňucha Dallova,Dall-Hafenschweinswal,Morświn Dall's
Dalmatian,Dalmatien,Dálmata,Dalmatin,Dalmatiner,Dalmatyńczyk
damselfly,demoiselle,caballito del diablo,damani,Kleinlibelle,damselfly
dark-eyed junco,junco aux yeux sombres,junco de ojos oscuros,junák tmavý,Grauwangen-Junker,junak ciemnooki
darkling beetle,scarabée noir,escarabajo oscuro,brouk tmář,Schwarzkäfer,mroczny chrząszcz
deer,cerf,ciervo,jelen,Hirsch,jeleń
Deinonychus,Deinonychus,Deinonychus,Deinonychus,Deinonychus,Deinonychus
desert tortoise,tortue du désert,tortuga del desierto,pouštní želva,Wüstenschildkröte,żółw pustynny
Desmatosuchus,Desmatosuchus,Desmatosuchus,Desmatosuchus,Desmatosuchus,Desmatosuchus
dhole,dhole,dhole,dhole,dhole,dziura
diatom,diatomée,diatomeas,diatomie,Kieselalge,okrzemka
Dilophosaurus,Dilophosaurus,Dilophosaurus,Dilophosaurus,Dilophosaurus,Dilofozaur
Dimetrodon,Dimétrodon,Dimetrodon,Dimetrodon,Dimetrodon,Dimetrodon
dingo,dingo,dingo,dingo,Dingo,dingo
Dinichthys,Dinichthys,Dinichthys,Dinichthys,Dinichthys,Dinichthys
Dinornis,Dinornis,Dinornis,Dinornis,Dinornis,Dinornis
dinosaur,dinosaure,dinosaurio,dinosaurus,Dinosaurier,dinozaur
Diplodocus,Diplodocus,Diplodocus,Diplodocus,Diplodocus,Diplodok
Doberman pinscher,Doberman pinscher,Doberman pinscher,Dobrmanský pinč,Dobermannpinscher,Pinczer doberman
dodo,dodo,dodo,dodo,Dodo,dodo
Doedicurus,Doedicurus,Doedicurus,Doedicurus,Doedicurus,Doedicurus
dog,chien,perro,pes,Hund,pies
dogfish,roussette,pintarroja,dogfish,Hundshai,dogfish
dolphin,dauphin,delfín,delfín,Delphin,delfin
"dolphin, bottlenose","dauphin, grand dauphin",delfín mular,delfín skákavý,"Delfin, Großer Tümmler","delfin, delfin butlonosy"
"dolphin, spotted",dauphin tacheté,delfín moteado,delfín skvrnitý,"Delfin, Fleckendelfin",delfin plamisty
donkey,âne,burro,osel,Esel,osioł
dory,doris,dory,dory,dory,dory
dove,colombe,paloma,holubice,Taube,gołąb
downy woodpecker,pic mineur,pájaro carpintero downy,datel černý,Dunenspecht,dzięcioł puchaty
dragonfly,libellule,libélula,vážka,Libelle,ważka
dromedary,dromadaire,dromedario,dromedár,Dromedar,dromader
duck,canard,pato,kachna,Ente,kaczka
duck-billed platypus,ornithorynque à bec de canard,ornitorrinco,kachnozobý platypus,Schnabeltier,dzioborożec kaczodzioby
dugong,dugong,dugongo,dugong,Dugong,diugonia
dung beetle,bousier,escarabajo pelotero,hovnivál,Mistkäfer,żuk gnojowy
Dunkleosteus,Dunkleosteus,Dunkleosteus,Dunkleosteus,Dunkleosteus,Dunkleosteus
eagle,aigle,águila,orel,Adler,orzeł
earthworm,ver de terre,lombriz de tierra,žížaly,Regenwurm,dżdżownica
earwig,perce-oreille,tijereta,ušní svině,Ohrwurm,skorupiak
eastern bluebird,merle bleu de l'Est,pájaro azul oriental,modrásek východní,Rotkehl-Hüttensänger,niebieski ptak wschodni
eastern quoll,poule d'eau,quoll oriental,quoll východní,Ostkapsel,przepiórka wschodnia
echidna,échidné,equidna,echidna,Echidna,echidna
echinoderms,échinodermes,equinodermos,ostnokožci,Stachelhäuter,szkarłupnie
Edenta,Edenta,Edenta,Edenta,Edenta,Edenta
Edmontonia,Edmontonia,Edmontonia,Edmontonia,Edmontonia,Edmontonia
Edmontosaurus,Edmontosaurus,Edmontosaurus,Edmontosaurus,Edmontosaurus,Edmontozaur
eel,anguille,anguila,úhoř,Aal,węgorz
egg,œuf,huevo,vejce,Ei,jajko
egret,aigrette,garceta,volavka,Seidenreiher,czapla
ekaltadelta,ekaltadelta,ekaltadelta,ekaltadelta,ekaltadelta,ekaltadela
eland,éland,eland,eland,eland,eland
Elasmosaurus,Elasmosaure,Elasmosaurus,Elasmosaurus,Elasmosaurus,Elasmozaur
Elasmotherium,Elasmotherium,Elasmotherium,Elasmotherium,Elasmotherium,Elasmotherium
electric eel,anguille électrique,anguila eléctrica,elektrický úhoř,Zitteraal,węgorz elektryczny
elephant,éléphant,elefante,slon,Elefant,słoń
elephant seal,éléphant de mer,elefante marino,tuleň sloní,Seeelefant,foka słoniowa
elk,élan,alce,los,Elch,łoś
emerald tree boa,boa de l'arbre d'émeraude,boa esmeralda,smaragdový stromový hroznýš,Smaragdbaumboa,boa szmaragdowy
emperor angelfish,poisson-ange empereur,pez ángel emperador,angel císařský,Imperator-Kaiserfisch,żabnica cesarska
emperor penguin,manchot empereur,pingüino emperador,tučňák císařský,Kaiserpinguin,pingwin cesarski
emu,emu,emu,emu,emu,emu
endangered species,espèces menacées,especies amenazadas,ohrožené druhy,vom Aussterben bedrohte Arten,zagrożone gatunki
Eohippus,Eohippus,Eohippus,Eohippus,Eohippus,Eohippus
Eoraptor,Eoraptor,Eoraptor,Eoraptor,Eoraptor,Eoraptor
ermine,hermine,armiño,ermine,Hermelin,gronostaj
Estemmenosuchus,Estemmenosuchus,Estemmenosuchus,Estemmenosuchus,Estemmenosuchus,Estemmenosuchus
extinct animals,animaux disparus,animales extinguidos,vyhynulá zvířata,ausgestorbene Tiere,wymarłe zwierzęta
Fabrosaurus,Fabrosaurus,Fabrosaurus,Fabrosaurus,Fabrosaurus,Fabrosaurus
falcon,faucon,halcón,sokol,Falke,sokół
farm animals,animaux de ferme,animales de granja,hospodářská zvířata,Nutztiere,zwierzęta hodowlane
fennec fox,renard fennec,zorro fennec,liška obecná,Fennekfuchs,lis fenek
ferret,furet,hurón,fretka,Frettchen,fretka
fiddler crab,crabe violoniste,cangrejo violinista,krab skřivan,Winkerkrabbe,krab skrzypek
fin whale,rorqual commun,rorcual común,plejtvák obrovský,Finnwal,płetwal
finch,pinson,pinzón,finch,Fink,zięba
fireant,pompier,fireant,fireant,fireant,fireant
firefly,luciole,luciérnaga,světluška,Glühwürmchen,firefly
fish,poisson,pescado,ryby,Fisch,ryba
flamingo,flamant rose,flamenco,plameňák,Flamingo,flaming
flatworm,ver plat,gusano plano,plochá hlísta,Plattwurm,płazińce
flea,puce,pulga,blechy,Floh,pchła
flightless birds,oiseaux incapables de voler,aves no voladoras,nelétaví ptáci,flugunfähige Vögel,ptaki nielotne
flounder,flet,platija,platýs,Flunder,flądra
fly,voler,mosca,fly,Fliege,latać
flying fish,poisson volant,pez volador,létající ryby,fliegende Fische,latająca ryba
flying squirrel,écureuil volant,ardilla voladora,létající veverka,Flughörnchen,latająca wiewiórka
forest antelope,antilope des forêts,antílope forestal,lesní antilopy,Waldantilope,antylopa leśna
forest giraffe,girafe des forêts,jirafa del bosque,lesní žirafa,Waldgiraffe,żyrafa leśna
fossa,fosse,fosa,fossa,Fossa,fossa
fowl,volaille,ave,ptactvo,Hühner,ptactwo
fox,renard,zorro,fox,Fuchs,lis
frilled lizard,lézard à collerette,lagarto con volantes,ještěrka s řasami,Kragenechse,jaszczurka falista
frog,grenouille,rana,žába,Frosch,żaba
fruit bat,chauve-souris frugivore,murciélago frugívoro,ovocný netopýr,Flughund,nietoperz owocowy
fruit fly,mouche des fruits,mosca de la fruta,ovocná muška,Fruchtfliege,muszka owocówka
fugu,fugu,fugu,fugu,Fugu,fugu
galagos,galagos,galagos,galagos,galagos,galagos
Galapagos shark,Requin des Galápagos,Tiburón de las Galápagos,Žralok galapážský,Galapagoshai,Rekin z Galapagos
gar,gar,gar,gar,gar,gar
gastropod,gastéropode,gasterópodo,gastropod,Schnecke,ślimak
gavial,gavial,gavial,gavial,gavial,gawial
gazelle,gazelle,gacela,gazelle,gazelle,gazela
gecko,gecko,gecko,gekon,Gecko,gekon
gerbil,gerbille,jerbo,pískomil,Rennmaus,myszoskoczek
German shepherd,Berger allemand,pastor alemán,Německý ovčák,Deutscher Schäferhund,Owczarek niemiecki
giant squid,calmar géant,calamar gigante,obří chobotnice,Riesenkrake,kałamarnica olbrzymia
gibbon,gibbon,gibón,gibon,Gibbon,gibon
gila monster,monstre de gila,monstruo de gila,gila monster,Gilamonster,potwór gila
giraffe,girafe,jirafa,žirafa,Giraffe,żyrafa
Glyptodon,Glyptodon,Glyptodon,Glyptodon,Glyptodon,Glyptodon
gnat,moucheron,mosquito,komár,Mücke,gnat
gnu,gnu,gnu,gnu,gnu,gnu
goat,chèvre,cabra,koza,Ziege,koza
golden eagle,aigle royal,águila real,orel skalní,Steinadler,orzeł przedni
golden lion tamarin,tamarin lion doré,tamarino león dorado,tamarín zlatý,Goldlöwen-Tamarin,tamaryna złocista
golden retriever,golden retriever,golden retriever,zlatý retrívr,Golden Retriever,golden retriever
goldfinch,chardonneret,jilguero,zlatohlávek,Stieglitz,szczygieł
goldfish,poisson rouge,carpa dorada,zlatá rybka,Goldfisch,złota rybka
goose,oie,ganso,husí,Gans,gęś
gopher,marmotte,topo,sysla,Gopher,świstak
gorilla,gorille,gorila,gorila,Gorilla,goryl
grasshopper,sauterelle,saltamontes,luční kobylka,Heuschrecke,konik polny
gray whale,baleine grise,ballena gris,velryba šedá,Grauwal,wieloryb szary
great apes,grands singes,grandes simios,lidoopi,Menschenaffen,małpy człekokształtne
great Dane,grand danois,gran danés,velká doga,Dogge,dog wielki
great egret,grande aigrette,garceta grande,volavka velká,Silberreiher,czapla biała
great horned owl,grand-duc d'Europe,búho cornudo,raroh velký,Waldohreule,wielka sowa rogata
great white shark,grand requin blanc,gran tiburón blanco,velký bílý žralok,Weißer Hai,żarłacz biały
green darner dragonfly,libellule du dard vert,libélula verde,vážka zelená,Grüne Keiljungfer,ważka darnera zielona
green iguana,iguane vert,iguana verde,leguán zelený,Grüner Leguan,legwan zielony
Greenland shark,Requin du Groenland,Tiburón de Groenlandia,Žralok grónský,Grönlandhai,Rekin grenlandzki
greyhound,lévrier,galgo,chrti,Windhund,chart
grizzly bear,ours grizzly,oso pardo,medvěd grizzly,Grizzlybär,niedźwiedź grizzly
groundhog,marmotte,marmota,svišť,Murmeltier,świstak
grouper,mérou,mero,grouper,Zackenbarsch,grouper
grouse,tétras,urogallo,tetřev,Raufußhühner,głuszec
grub,tambouille,grub,grub,grub,żarcie
guinea pig,cochon d'Inde,cobaya,morče,Meerschweinchen,świnka morska
gull,mouette,gaviota,racek,Möwe,mewa
gulper eel,anguille chagrinée,anguila barrenadora,úhoř říční,Schmerlenaale,węgorz gulper
hammerhead shark,requin marteau,tiburón martillo,žralok kladivoun,Hammerhai,rekin młot
hamster,hamster,hámster,křeček,Hamster,chomik
hare,lièvre,liebre,zajíc,Hase,zając
harlequin bug,punaise arlequin,bicho arlequín,brouk harlekýn,Raubwanze,robak arlekin
harp seal,phoque du Groenland,foca arpa,tuleň harfový,Sattelrobbe,foka harfa
harpy eagle,aigle harpie,águila harpía,orel harpyje,Harpyienadler,orzeł harpia
hatchetfish,hachette,pez hacha,hatchetfish,Beilbauch,siekiernik
Hawaiian goose,Oie hawaïenne,Ganso hawaiano,Havajská husa,Hawaiigans,Gęś hawajska
hawk,faucon,halcón,jestřáb,Habicht,jastrząb
hedgehog,hérisson,erizo,ježek,Igel,jeż
hen,poule,hen,slepice,hen,kura
hermit crab,bernard-l'hermite,cangrejo ermitaño,krab poustevník,Einsiedlerkrebs,krab pustelnik
heron,héron,garza,volavka,Reiher,czapla
herring,hareng,arenque,sleď,Hering,śledź
hippo,hippopotame,hipopótamo,hroch,Nilpferd,hipopotam
hippopotamus,hippopotame,hipopótamo,hroch,Nilpferd,hipopotam
honey bee,abeille mellifère,abeja melífera,včela medonosná,Honigbiene,pszczoła miodna
hornet,frelon,avispón,sršeň,Hornisse,szerszeń
horse,cheval,caballo,kůň,Pferd,koń
horseshoe crab,limule,cangrejo herradura,krab podkovovitý,Pfeilschwanzkrebs,krab podkowiasty
hound,chien de chasse,sabueso,hound,Jagdhund,pies
house fly,mouche domestique,mosca doméstica,moucha domácí,Stubenfliege,mucha domowa
howler monkey,singe hurleur,mono aullador,howler monkey,Brüllaffe,wyjec
human being,être humain,ser humano,člověk,menschliches Wesen,człowiek
hummingbird,colibri,colibrí,kolibřík,Kolibri,koliber
humpback whale,baleine à bosse,ballena jorobada,keporkak,Buckelwal,humbak
husky,musqué,husky,husky,Husky,husky
hyena,hyène,hiena,hyena,Hyäne,hiena
Hyracotherium,Hyracotherium,Hyracotherium,Hyracotherium,Hyracotherium,Hyracotherium
hyrax,hyrax,hyrax,hyrax,Hyrax,hyrax
ibis,ibis,ibis,ibis,ibis,ibis
Ichthyornis,Ichthyornis,Ichthyornis,Ichthyornis,Ichthyornis,Ichthyornis
Ichthyosaurus,Ichthyosaure,Ictiosaurio,Ichtyosaurus,Ichthyosaurus,Ichtiozaur
iguana,iguane,iguana,leguán,Leguan,legwan
Iguanodon,Iguanodon,Iguanodon,Iguanodon,Iguanodon,Iguanodon
imago,imago,imago,imago,imago,imago
impala,impala,impala,impala,impala,impala
Indian elephant,Éléphant indien,Elefante indio,Slon indický,Indischer Elefant,Słoń indyjski
insect,insecte,insecto,hmyz,Insekt,owad
insectivores,insectivores,insectívoros,hmyzožravci,Insektenfresser,owadożerne
invertebrates,invertébrés,invertebrados,bezobratlí,wirbellose Tiere,bezkręgowce
Irish setter,Setter irlandais,Setter irlandés,Irský setr,Irish Setter,Seter irlandzki
isopod,isopode,isópodos,isopod,Asseln,izopod
jack rabbit,lapin en peluche,conejo,králík jack,Kaninchen,królik
Jack Russell terrier,Terrier Jack Russell,Jack Russell terrier,Jack Russell teriér,Jack Russell Terrier,Jack Russell terrier
jaguar,jaguar,jaguar,jaguar,jaguar,jaguar
Janenschia,Janenschia,Janenschia,Janenschia,Janenschia,Janenschia
Japanese crane,Grue japonaise,Grúa japonesa,Japonský jeřáb,Japanischer Kranich,Żuraw japoński
javelina,javeline,javelina,javelina,Javelina,oszczep
jay,geai,jay,jay,jay,sójka
jellyfish,méduse,medusa,medúzy,Quallen,meduza
jerboa,jerboa,jerboa,jerboa,jerboa,jerboa
joey,joey,joey,joey,joey,joey
John Dory,John Dory,John Dory,John Dory,Petersfisch,John Dory
jumping bean moth,papillon de nuit,polilla saltarina de la judía,skákající můra fazolová,Springende Bohnenmotte,skacząca ćma fasolowa
junco,junco,junco,junco,Junco,junco
junebug,junebug,junebug,junebug,junebug,junebug
kakapo,kakapo,kakapo,kakapo,Kakapo,kakapo
