EN,FR,ES,CS,DE,PL
gear shift,changement de vitesse,cambio de marchas,řazení rychlostních stupňů,Gangschaltung,zmiana biegów
gear stick,levier de vitesse,palanca de cambios,řadicí páka,Schaltknüppel,drążek zmiany biegów
gearbox,boîte de vitesses,caja de cambios,převodovka,Getriebe,skrzynia biegów
glove compartment,boîte à gants,guantera,přihrádka na rukavice,Handschuhfach,schowek
GPS,GPS,GPS,GPS,GPS,GPS
grille,grille,rejilla,mřížka,Kühlergrill,kratka
hand brake,frein à main,freno de mano,ruční brzda,Handbremse,hamulec ręczny
headlamp,lampe frontale,faro,světlomet,Scheinwerfer,reflektor
headlight,phare,faro,světlomety,Scheinwerfer,reflektor
headrest,appui-tête,reposacabezas,opěrka hlavy,Kopfstütze,zagłówek
heater,chauffe-eau,calentador,ohřívač,Heizung,grzejnik
high-beam headlights,feux de route,luces de carretera,dálkové světlomety,Fernscheinwerfer,światła drogowe
hood,capuchon,capó,digestoř,Haube,kaptur
horn,corne,bocina,roh,Horn,róg
hubcap,enjoliveur,tapacubos,kryt náboje,Radkappe,kołpak
hybrid,hybride,híbrido,hybridní,hybrid,hybryda
ignition,allumage,encendido,zapalování,Zündung,zapłon
instrument panel,tableau de bord,panel de instrumentos,přístrojová deska,Armaturenbrett,tablica przyrządów
interior light,lumière intérieure,luz interior,vnitřní osvětlení,Innenbeleuchtung,oświetlenie wewnętrzne
internal combustion engine,moteur à combustion interne,motor de combustión interna,spalovací motor,Verbrennungsmotor,silnik spalinowy
jack,cric,jack,jack,jack,podnośnik
key,clé,clave,klíč,Schlüssel,klucz
license plate,plaque d'immatriculation,matrícula,poznávací značka,Nummernschild,tablica rejestracyjna
lights,lumières,luces,světla,Lichter,światła
lock,serrure,cierre,zámek,sperren,blokada
low-beam headlights,feux de croisement,luces de cruce,potkávací světlomety,Abblendlicht,światła mijania
lug bolt,boulon à oreilles,perno de orejeta,šroub s okem,Riegelbolzen,śruba
lug nut,écrou de roue,tuerca de orejeta,matice oka,Radmuttern,nakrętka
manifold,collecteur,colector,rozdělovač,Verteiler,kolektor
manual transmission,transmission manuelle,transmisión manual,manuální převodovka,manuelle Übertragung,manualna skrzynia biegów
mat,mat,mat,mat,matte,mata
mirror,miroir,espejo,zrcadlo,Spiegel,lustro
moon roof,toit ouvrant,techo corredizo,měsíční střecha,Monddach,dach księżycowy
motor,moteur,motor,motor,Motor,silnik
mud flap,bavette,guardabarros,bahenní klapka,Schmutzfänger,klapa przeciwbłotna
muffler,silencieux,silenciador,tlumič výfuku,Schalldämpfer,tłumik
navigation system,système de navigation,sistema de navegación,navigační systém,Navigationssystem,system nawigacji
odometer,compteur kilométrique,cuentakilómetros,počítadlo kilometrů,Kilometerzähler,licznik kilometrów
oil,huile,aceite,olej,Öl,olej
oil filter,filtre à huile,filtro de aceite,olejový filtr,Ölfilter,filtr oleju
oil tank,réservoir d'huile,depósito de aceite,nádrž na olej,Öltank,zbiornik oleju
parking brake,frein de stationnement,freno de estacionamiento,parkovací brzda,Feststellbremse,hamulec postojowy
parking lights,feux de stationnement,luces de estacionamiento,parkovací světla,Standlicht,światła postojowe
passenger seat,siège passager,asiento del pasajero,sedadlo spolujezdce,Beifahrersitz,fotel pasażera
pedal,pédale,pedal,pedál,Pedal,pedał
piston,piston,pistón,píst,Kolben,tłok
power brakes,freins électriques,frenos de potencia,výkonné brzdy,Servobremsen,hamulce elektryczne
power steering,direction assistée,dirección asistida,posilovač řízení,Servolenkung,wspomaganie kierownicy
power window switch,interrupteur de lève-vitre électrique,interruptor del elevalunas,spínač elektrického ovládání oken,Fensterheberschalter,przełącznik szyb elektrycznych
radiator,radiateur,radiador,chladič,Kühler,grzejnik
radio,radio,radio,rádio,Radio,radio
rag top,haut en chiffon,top de trapo,hadrový vršek,Stofftop,szmaciany top
rear window defroster,dégivreur de lunette arrière,desempañador de la luneta trasera,rozmrazovač zadního okna,Heckscheibenentfroster,odmrażacz tylnej szyby
rear-view mirror,rétroviseur,retrovisor,zpětné zrcátko,Rückspiegel,lusterko wsteczne
reverse light,feu de recul,luz de marcha atrás,zpětné světlo,Rückfahrscheinwerfer,światło cofania
rims,jantes,llantas,ráfky,Felgen,felgi
roof,toit,tejado,střecha,Dach,dach
roof rack,galerie de toit,baca,střešní nosič,Dachträger,bagażnik dachowy
rotary engine,moteur rotatif,motor rotativo,rotační motor,Kreiskolbenmotor,silnik obrotowy
seat,siège,asiento,sedadlo,Sitz,siedziba
seat belt,ceinture de sécurité,cinturón de seguridad,bezpečnostní pás,Sicherheitsgurt,pas bezpieczeństwa
shift,changement,turno,posun,Schicht,zmiana
shock absorber,amortisseur de chocs,amortiguador,tlumič nárazů,Schockabsorber,amortyzator
side airbags,airbags latéraux,airbags laterales,boční airbagy,Seitenairbags,boczne poduszki powietrzne
side mirror,rétroviseur latéral,espejo lateral,boční zrcátko,Seitenspiegel,lusterko boczne
spare tire,roue de secours,neumático de repuesto,náhradní pneumatika,Ersatzreifen,opona zapasowa
spark plug,bougie d'allumage,bujía,zapalovací svíčka,Zündkerze,świeca zapłonowa
speaker,orateur,altavoz,mluvčí,Sprecher,głośnik
speedometer,compteur de vitesse,velocímetro,tachometr,Tachometer,prędkościomierz
spoiler,spoiler,spoiler,spoiler,Spoiler,spoiler
starter,démarreur,arranque,startér,Starthilfe,rozrusznik
steering column,colonne de direction,columna de dirección,sloupek řízení,Lenksäule,kolumna kierownicy
steering wheel,volant,volante,volant,Lenkrad,kierownica
sun visor,pare-soleil,parasol,sluneční clona,Sonnenblende,osłona przeciwsłoneczna
sunroof,toit ouvrant,techo solar,střešní okno,Schiebedach,szyberdach
suspension,suspension,suspensión,zavěšení,Aufhängung,zawieszenie
tachometer,tachymètre,tacómetro,tachometr,Tachometer,obrotomierz
tailgate,hayon,portón trasero,zadní dveře,Heckklappe,klapa tylna
temperature gauge,indicateur de température,indicador de temperatura,ukazatel teploty,Temperaturanzeige,wskaźnik temperatury
thermometer,thermomètre,termómetro,teploměr,Thermometer,termometr
tire,pneu,neumático,pneumatika,Reifen,opona
trailer hitch,attelage de remorque,enganche de remolque,závěs přívěsu,Anhängerkupplung,zaczep przyczepy
transmission,transmission,transmisión,přenos,Übertragung,transmisja
trim,garniture,recortar,trim,trimmen,wykończenie
trip computer,ordinateur de bord,ordenador de viaje,palubní počítač,Bordcomputer,komputer pokładowy
trunk,coffre,maletero,kmen,Kofferraum,bagażnik
turbo charger,turbocompresseur,turbocompresor,turbodmychadlo,Turbolader,turbosprężarka
turn signal,clignotant,intermitente,směrovka,Blinker,kierunkowskaz
undercarriage,châssis,tren de rodaje,podvozek,Fahrgestell,podwozie
unleaded gas,gaz sans plomb,gasolina sin plomo,bezolovnatý benzín,bleifreies Benzin,gaz bezołowiowy
valve,soupape,válvula,ventil,Ventil,zawór
vents,évents,respiraderos,větrací otvory,Entlüftungen,otwory wentylacyjne
visor,visière,visera,stínítko,Visier,wizjer
warning light,voyant d'avertissement,luz de aviso,výstražné světlo,Warnleuchte,lampka ostrzegawcza
wheel,roue,rueda,kolo,Rad,koło
wheel well,passage de roue,hueco de la rueda,podběhy kol,Radkasten,wnęka koła
window,fenêtre,ventana,okno,Fenster,okno
windshield,pare-brise,parabrisas,čelní sklo,Windschutzscheibe,przednia szyba
windshield wiper,essuie-glace,limpiaparabrisas,stěrač čelního skla,Windschutzscheibenwischer,wycieraczka przedniej szyby
