EN,FR,ES,CS,DE,PL
tomato,tomate,tomate,rajče,Tomate,pomidor
topaz,topaze,topacio,topaz,Topas,topaz
turquoise,turquoise,turquesa,tyrkysová,türkis,turkus
ultramarine,outremer,ultramar,ultramarín,ultramarine,ultramaryna
umber,nombre,umber,umber,umber,liczba
vermilion,vermillon,bermellón,vermilion,Zinnoberrot,cynober
violet,violet,violeta,fialová,violett,fiolet
viridian,viridienne,viridian,viridian,Viridian,viridian
wheat,blé,trigo,pšenice,Weizen,pszenica
white,blanc,blanco,bílá,weiß,biały
wisteria,glycine,glicinas,vistárie,Wisteria,glicynia
yellow,jaune,amarillo,žlutá,gelb,żółty
