EN,FR,ES,CS,DE,PL
post office,bureau de poste,correos,pošta,Postamt,poczta
power plant,centrale électrique,central eléctrica,elektrárna,Kraftwerk,elektrownia
prefab building,bâtiment préfabriqué,edificio prefabricado,montovaná stavba,Fertighaus,budynek prefabrykowany
prison,prison,prisión,vězení,Gefängnis,więzienie
pump house,station de pompage,casa de bombas,čerpací stanice,Pumpenhaus,pompownia
pyramid,pyramide,pirámide,pyramida,Pyramide,piramida
quonset hut,hutte quonset,cabaña quonset,quonset hut,Wellblechhütte,quonset hut
railway station,gare ferroviaire,estación de ferrocarril,železniční stanice,Bahnstation,stacja kolejowa
ranch,ranch,rancho,ranč,Ranch,ranczo
rectory,presbytère,rectoría,fara,Pfarrhaus,plebania
refinery,raffinerie,refinería,rafinerie,Raffinerie,rafineria
residence,résidence,residencia,rezidence,Aufenthalt,miejsce zamieszkania
restaurant,restaurant,restaurante,restaurace,Restaurant,restauracja
roller rink,patinoire,pista de patinaje,kluziště na kolečkových bruslích,Rollschuhbahn,lodowisko
roundhouse,maison ronde,casa redonda,roundhouse,Rundhaus,zaokrąglenie
rowhouse,maison de campagne,casa adosada,řadový dům,Reihenhaus,szeregowiec
school,l'école,escuela,škola,Schule,szkoła
shack,cabane,chabola,chata,Hütte,szałas
shed,hangar,cobertizo,přístřešek,Schuppen,szopa
shelter,abri,refugio,přístřešek,Unterkunft,schronienie
shopping center,centre commercial,centro comercial,nákupní centrum,Einkaufszentrum,centrum handlowe
shopping mall,centre commercial,centro comercial,nákupní centrum,Einkaufspassage,centrum handlowe
shrine,sanctuaire,santuario,svatyně,Schrein,sanktuarium
silo,silo,silo,silo,Silo,silos
skating rink,patinoire,pista de patinaje,kluziště,Eislaufbahn,lodowisko
skyscraper,gratte-ciel,rascacielos,mrakodrap,Wolkenkratzer,wieżowiec
skyway,voie aérienne,skyway,skyway,skyway,droga powietrzna
smokestack,cheminée,chimenea,kouřovod,Schornstein,komin
spire,flèche,spire,spire,Spitze,iglica
split-level house,maison à deux niveaux,casa en dos niveles,dvoupodlažní dům,Split-Level-Haus,dom dwupoziomowy
stable,stable,estable,stabilní,stabil,stabilny
stadium,stade,estadio,stadion,Stadion,stadion
state house,maison de l'état,ayuntamiento,státní dům,Landeshaus,dom stanowy
station,station,estación,stanice,Bahnhof,stacja
steeple,clocher,campanario,věž,Kirchturm,stromizna
store,magasin,tienda,ukládat,speichern,sklep
storehouse,entrepôt,almacén,skladiště,Lagerhaus,magazyn
strip mall,centre commercial,franja comercial,obchodní centrum,Einkaufsmeile,centrum handlowe
structure,structure,estructura,struktura,Struktur,struktura
studio,studio,estudio,studio,Studio,studio
supermarket,supermarché,supermercado,supermarket,Supermarkt,supermarket
symphony,symphonie,sinfonía,symfonie,Sinfonie,symfonia
synagogue,synagogue,sinagoga,synagoga,Synagoge,synagoga
temple,temple,templo,chrám,Tempel,świątynia
tenement,immeuble,vivienda,nájemní dům,Mietshaus,kamienica
tent,tente,tienda,stan,Zelt,namiot
terminal,terminal,terminal,terminál,Terminal,terminal
theater,théâtre,teatro,divadlo,Theater,teatr
tipi,tipi,tipi,tipi,Tipi,tipi
toll house,maison de péage,peaje,mýtný dům,Mautstelle,punkt poboru opłat
tomb,tombeau,tumba,hrobka,Grabstätte,grób
tower,tour,torre,věž,Turm,wieża
townhouse,maison de ville,casa adosada,městský dům,Stadthaus,kamienica
treehouse,cabane,casa del árbol,domek na stromě,Baumhaus,domek na drzewie
triplex,triplex,triplex,triplex,Triplex,tripleks
Tudor house,Maison Tudor,Casa Tudor,Tudorovský dům,Tudor-Haus,Dom w stylu Tudorów
university,l'université,universidad,univerzita,Universität,uniwersytet
vault,coffre-fort,bóveda,trezor,Tresor,skarbiec
vicarage,presbytère,vicaría,vikariát,Pfarrhaus,plebania
villa,villa,villa,vila,Villa,willa
warehouse,entrepôt,almacén,sklad,Lagerhaus,magazyn
watermill,moulin à eau,molino de agua,vodní mlýn,Wassermühle,młyn wodny
workshop,atelier,taller,workshop,Werkstatt,warsztat
yurt,yourte,yurta,jurta,Jurte,jurta
