EN,FR,ES,CS,DE,PL
metatarsal,métatarsien,metatarsiano,metatarzální kosti,Mittelfußknochen,śródstopie
molar,molaire,molar,molární,Molaren,trzonowiec
mouth,bouche,boca,ústa,Mund,usta
muscle,muscle,músculo,svaly,Muskel,mięsień
nail,clou,uñas,nehty,Nagel,gwóźdź
navel,nombril,ombligo,pupek,Nabel,pępek
neck,cou,cuello,krk,Nacken,szyja
nerves,nerfs,nervios,nervy,Nerven,nerwy
nipple,mamelon,pezón,bradavky,Brustwarze,sutek
nose,nez,nariz,nos,Nase,nos
nostril,narine,fosa nasal,nosní dírky,Nasenloch,nozdrze
organs,organes,órganos,orgány,Organe,organy
ovary,ovaire,ovario,vaječníky,Eierstock,jajnik
palm,palmier,palma,palma,Palme,dłoń
pancreas,pancréas,páncreas,slinivka břišní,Bauchspeicheldrüse,trzustka
patella,rotule,rótula,patella,Patella,rzepka
pelvis,bassin,pelvis,pánev,Becken,miednica
phalanges,phalanges,falanges,záprstní kůstky,Phalangen,paliczki
pharynx,pharynx,faringe,hltan,Pharynx,gardło
pinky,petit doigt,meñique,pinky,pinky,różowy
pituitary,hypophyse,hipófisis,hypofýza,Hypophyse,przysadka
pore,pore,poro,póry,Pore,por
pupil,élève,alumno,žák,Schülerin,uczeń
radius,rayon,radio,poloměr,Radius,promień
rectum,rectum,recto,rektum,Rektum,odbyt
red blood cells,les globules rouges,glóbulos rojos,červené krvinky,rote Blutkörperchen,czerwone krwinki
respiratory system,système respiratoire,sistema respiratorio,dýchací systém,Atmungssystem,układ oddechowy
ribs,côtes,costillas,žebra,Rippen,żebra
sacrum,sacrum,sacro,sacrum,Kreuzbein,kość krzyżowa
scalp,cuir chevelu,cuero cabelludo,pokožka hlavy,Kopfhaut,skalp
scapula,omoplate,escápula,lopatka,Skapula,łopatka
senses,sens,sentidos,smysly,Sinne,zmysły
shin,tibia,espinilla,holeně,Schienbein,goleń
shoulder,épaule,hombro,rameno,Schulter,ramię
shoulder blade,omoplate,omóplato,lopatka,Schulterblatt,łopatka
skeleton,squelette,esqueleto,kostra,Skelett,szkielet
skin,peau,piel,kůže,Haut,skóra
skull,crâne,calavera,lebka,Schädel,czaszka
sole,semelle,solo,pouze,allein,podeszwa
spinal column,colonne vertébrale,columna vertebral,páteř,Wirbelsäule,kręgosłup
spinal cord,la moelle épinière,médula espinal,mícha,Rückenmark,rdzeń kręgowy
spine,colonne vertébrale,columna vertebral,páteř,Wirbelsäule,kręgosłup
spleen,rate,bazo,slezina,Milz,śledziona
sternum,sternum,esternón,hrudní kost,Brustbein,mostek
stomach,estomac,estómago,žaludek,Magen,żołądek
tarsal,tarse,tarsal,tarzální,tarsal,stęp
teeth,dents,dientes,zuby,Zähne,zęby
tendon,tendon,tendón,šlachy,Sehne,ścięgno
testes,testicules,testículos,varlata,Hoden,jądra
thigh,cuisse,muslo,stehno,Oberschenkel,udo
thorax,thorax,tórax,hrudník,thorax,tułów
throat,gorge,garganta,krk,Kehle,gardło
thumb,pouce,pulgar,palec,Daumen,kciuk
thyroid,thyroïde,tiroides,štítná žláza,Schilddrüse,tarczyca
tibia,tibia,tibia,holenní kost,Schienbein,piszczel
tissue,tissu,tejido,tkáň,Gewebe,tkanka
toe,orteil,dedo del pie,prst na noze,Zehen,palec
toenail,ongle de pied,uña del pie,nehty na nohou,Zehennagel,paznokieć
tongue,langue,lengua,jazyk,Zunge,język
tonsils,amygdales,amígdalas,mandle,Mandeln,migdałki
tooth,dent,diente,zub,Zahn,ząb
torso,torse,torso,trup,Torso,tułów
trachea,trachée,tráquea,trachea,Luftröhre,tchawica
ulna,cubitus,cúbito,ulna,Elle,kość łokciowa
ureter,uretère,uréter,močovod,Ureter,moczowód
urethra,urètre,uretra,močová trubice,Urethra,cewka moczowa
urinary system,système urinaire,sistema urinario,močový systém,Harnsystem,układ moczowy
uterus,utérus,útero,děloha,Gebärmutter,macica
uvula,luette,úvula,uvula,Zäpfchen,języczek
vein,veine,vena,žíly,Venen,żyła
vertebra,vertèbre,vértebra,obratle,Wirbel,kręg
waist,taille,cintura,pas,Taille,talia
white blood cells,globules blancs,glóbulos blancos,bílé krvinky,Leukozyten,białe krwinki
wrist,poignet,muñeca,zápěstí,Handgelenk,nadgarstek
