word,FR,ES,CS,DE,PL
inlet,entrée,entrada,vstup,Einlass,wlot
island,île,isla,ostrov,Insel,wyspa
islet,îlot,islote,ostrůvek,Inselchen,wysepka
isthmus,isthme,istmo,isthmus,isthmus,przesmyk
knob,bouton,pomo,knoflík,Drehknopf,pokrętło
knoll,nid d'abeilles,knoll,knoll,knoll,pagórek
lagoon,lagune,laguna,laguna,Lagune,laguna
lake,lac,lago,jezero,See,jezioro
lakebed,lit du lac,lecho del lago,dno jezera,Seebett,dno jeziora
landform,relief,landform,tvar terénu,Landform,ukształtowanie terenu
latitude,latitude,latitud,zeměpisná šířka,Breitengrad,szerokość geograficzna
lava dome,dôme de lave,cúpula de lava,lávový dóm,Lavadom,kopuła lawowa
lava tube,tube de lave,tubo de lava,lávová roura,Lavaröhre,rura lawowa
ledge,corniche,saliente,ledge,ledge,półka
loess,lœss,loess,loess,Löss,less
longitude,longitude,longitud,zeměpisná délka,Längengrad,długość geograficzna
lowland,plaine,tierras bajas,nížinný,Tiefland,nizina
mainland,continent,continente,pevnina,Festland,kontynent
marsh,marais,pantano,bažina,Sumpf,bagno
meander,méandre,meandro,meandr,Mäander,meander
mesa,mesa,mesa,mesa,mesa,mesa
mid-ocean ridge,dorsale médio-océanique,dorsal oceánica media,středooceánský hřbet,Mittelozeanischer Rücken,grzbiet śródoceaniczny
moraine,moraine,morrena,moréna,Moräne,morena
mound,monticule,montículo,mohyla,Erdhügel,kopiec
mountain,montagne,montaña,mountain,Berg,góra
mountain pass,col de montagne,puerto de montaña,horský průsmyk,Bergpass,przełęcz
mountain peak,sommet de montagne,cima de la montaña,horský vrchol,Berggipfel,szczyt górski
mouth,bouche,boca,ústa,Mund,usta
mud flat,boue plate,piso de barro,bahnitý byt,Wattenmeer,błoto płaskie
narrows,rétrécit,se estrecha,zužuje,verengt,zwężenia
natural arch,arche naturelle,arco natural,přírodní oblouk,natürlicher Bogen,łuk naturalny
neck,cou,cuello,krk,Nacken,szyja
oasis,oasis,oasis,oáza,oase,oaza
ocean,océan,océano,oceán,Meer,ocean
oceanic trench,fosse océanique,fosa oceánica,oceánský příkop,ozeanischer Graben,rów oceaniczny
overhang,surplomb,voladizo,převis,Überhang,zwis
overlook,surplomber,pasar por alto,přehlédnout,überblicken,widok
oxbow lake,lac oxbow,cocha,oxbow lake,Altwassersee,starorzecze
pass,passer,pase,předat,passieren,przepustka
peak,pic,pico,peak,Spitze,szczyt
peninsula,péninsule,península,poloostrov,Halbinsel,półwysep
plain,simple,llano,prostý,einfach,zwykły
plateau,plateau,meseta,náhorní plošina,Hochebene,płaskowyż
playa,playa,playa,playa,playa,playa
point,point,punto,bod,Punkt,punkt
pond,étang,estanque,rybník,Teich,staw
prairie,prairie,pradera,prérie,Prärie,preria
promontory,promontoire,promontorio,promontory,Vorgebirge,cypel
range,gamme,gama,rozsah,Bereich,zakres
rapids,rapides,ágiles,rapids,Stromschnellen,bystrza
ravine,ravin,barranco,roklina,ravine,wąwóz
reef,récif,arrecife,útes,Riff,rafa
ria,ria,ria,ria,ria,ria
ridge,crête,cresta,hřeben,Grat,grzbiet
rift valley,vallée du rift,a fosa tectónica,riftové údolí,Senkungsgraben,dolina ryftowa
rill,rill,rill,rill,Rille,krynica
rise,augmenter,subida,rise,Anstieg,wzrost
river,rivière,río,řeka,Fluss,rzeka
river delta,delta du fleuve,l delta del río,říční delta,Flussdelta,delta rzeki
riverbed,lit de rivière,l lecho del río,koryto řeky,Flussbett,koryto rzeki
rivulet,ruisseau,riachuelo,rivulet,Nieselregen,ruczaj
rock,rocher,roca,rock,Felsen,skała
salt marsh,marais salé,marisma salobre,slaný močál,Salzwiese,słone bagno
sand dune,dune de sable,duna de arena,písečná duna,Sanddüne,wydma
sandbar,barre de sable,banco de arena,pískovna,Sandbank,piaskownica
scarp,escarpement,escarpa,scarp,Steilhang,skarpa
scree,scree,scree,scree,Geröll,piarg
sea,mer,mar,moře,Meer,morze
sea cave,grotte marine,cueva marina,mořská jeskyně,Seehöhle,jaskinia morska
seabed,fonds marins,fondo marino,mořské dno,Meeresboden,dno morskie
seashore,bord de mer,orilla del mar,pobřeží,Meeresküste,wybrzeże
shallows,bas-fonds,bajos,mělčiny,Untiefen,płycizny
shoal,banc,cardumen,mělčina,Untiefe,mielizna
shore,rivage,orilla,pobřeží,Landseite,brzeg
shoreline,littoral,costa,pobřeží,Küstenlinie,linia brzegowa
slope,la pente,pendiente,Sklon,Neigung,nachylenie
slough,bourbier,fangosa,slough,slough,wąwóz
sound,son,sonido,zvuk,Ton,dźwięk
source,source,fuente,zdroj,Quelle,źródło
spit,cracher,escupir,spit,spucken,pluć
spring,printemps,muelle,pružina,Feder,wiosna
strait,droit,estrecho,úžina,strait,cieśnina
stream,flux,arroyo,proud,Strom,strumień
summit,sommet,cumbre,summit,Gipfel,szczyt
surf,surf,surf,surfování,surfen,surfować
swamp,marais,pantano,bažina,Sumpf,bagno
tableland,terre de table,tableland,tableland,Tafelland,tableland
tar pit,puits de goudron,foso de alquitrán,dehtová jáma,Teergrube,smołownia
terrace,terrasse,terraza,terasa,Terrasse,taras
terrain,terrain,terreno,terén,Gelände,teren
tidal basin,bassin de marée,cuenca mareal,přílivová nádrž,Gezeitenbecken,basen pływowy
topography,topographie,topografía,topografie,Topographie,topografia
tributary,affluent,afluente,přítok,Nebenfluss,dopływ
tundra,toundra,tundra,tundra,Tundra,tundra
U-shaped valley,Vallée en U,Valle en forma de U,Údolí ve tvaru písmene U,U-förmiges Tal,Dolina w kształcie litery U
vale,vallon,vale,vale,vale,dolina
valley,vallée,valle,údolí,Tal,dolina
vent,aération,ventilación,ventilace,Entlüftung,odpowietrznik
volcano,volcan,volcán,sopka,Vulkan,wulkan
waterfall,chute d'eau,cascada,vodopád,Wasserfall,wodospad
watershed,bassin versant,cuenca,povodí,Wassereinzugsgebiet,dział wodny
wetland,zone humide,humedal,mokřady,Feuchtgebiet,teren podmokły
yardang,yardang,yardang,yardang,yardang,yardang
