word,FR,ES,CS,DE,PL
billet,billette,palanquilla,polotovar,Knüppel,kęs
bivouac,bivouac,vivac,bivak,Biwak,biwak
bomb,bombe,bomba,bomba,Bombe,bomba
bombard,bombarde,bombardear,bombardovat,bombardieren,bombardować
bombardment,bombardement,bombardeo,bombardování,Bombardierung,bombardowanie
bow and arrow,arc et flèche,arco y flecha,luk a šíp,Pfeil und Bogen,łuk i strzała
brig,brig,bergantín,brig,brig,brygada
brigade,brigade,brigada,brigáda,Brigade,brygada
bullet,balle,bala,kulka,Aufzählung,kula
cadet,cadet,cadete,kadet,Kadett,kadet
camouflage,camoufler,camuflaje,maskování,Tarnung,kamuflaż
camp,camp,campamento,tábor,Lager,obóz
cannon,canon,cañón,dělo,Kanone,armata
cannon ball,boulet de canon,bala de cañón,dělová koule,Kanonenkugel,kula armatnia
canteen,cantine,comedor,jídelna,Kantine,stołówka
captain,capitaine,capitán,kapitán,Kapitän,kapitan
capture,capturer,captura,zachycení,erfassen,przechwytywanie
carrier,porteur,portador,nosič,Träger,przewoźnik
casualty,blessé,siniestro,nehody,Unfall,wypadek
catapult,catapulte,catapulta,katapult,Katapult,katapulta
cavalry,cavalerie,caballería,kavalerie,Kavallerie,kawaleria
chaplain,aumônier,capellán,kaplan,Kaplan,kapelan
coast guard,garde-côte,guardacostas,pobřežní stráž,Küstenwache,straż przybrzeżna
colonel,colonel,coronel,plukovník,Oberst,pułkownik
combat,combat,combate,boj,Kampf,walka
command,commande,comando,příkaz,Befehl,polecenie
commander,commandant,comandante,velitel,Kommandeur,dowódca
commanding officer,commandant,oficial al mando,velící důstojník,kommandierender Offizier,dowódca
commission,commission,comisión,komise,Kommission,prowizja
company,entreprise,empresa,společnost,Unternehmen,firma
conflict,conflit,conflicto,konflikt,Konflikt,konflikt
conquest,conquête,conquista,dobývání,Eroberung,podbój
conscription,conscription,reclutamiento,odvody,Wehrpflicht,pobór
convoy,convoi,convoy,konvoj,Konvoi,konwój
corporal,caporal,corporal,tělesné,Korporal,kapral
corps,corps,cuerpo,sbor,corps,korpus
covert,caché,encubierto,skrytý,verdeckt,ukryty
crew,l'équipage,tripulación,posádka,Mannschaft,załoga
decode,décoder,descodificar,dekódování,dekodieren,dekodowanie
defeat,défaite,vencer,porazit,besiegen,porażka
defend,défendre,defender,bránit,verteidigen,obrona
defense,défense,defensa,obrana,Verteidigung,obrona
destroyer,destructeur,destructor,destroyer,Zerstörer,niszczyciel
detonate,faire exploser,detonar,odpálit,detonieren,detonować
division,division,división,divize,Abteilung,podział
dog tags,étiquettes pour chiens,placas de identificación,psí známky,Hundemarken,nieśmiertelniki
draft,projet,borrador,návrh,Entwurf,projekt
encampment,campement,campamento,tábor,Zeltlager,obozowisko
encode,coder,codificar,kódování,verschlüsseln,kodować
enemy,ennemi,enemigo,nepřítel,Feind,wróg
engage,s'engager,comprometerse,zapojit,einschalten,zaangażowanie
enlist,enrôler,alistar,zapsat se na,anwerben,zaciągnąć się
ensign,enseigne,alférez,praporčík,Fähnrich,chorąży
epaulet,épaulette,epaulet,epaulet,epaulette,epolet
evacuate,évacuer,evacuar,evakuovat,evakuieren,ewakuować się
explosive,explosif,explosivo,výbušnina,explosiv,wybuchowy
field hospital,hôpital de campagne,hospital de campaña,polní nemocnice,Feldlazarett,szpital polowy
field marshal,maréchal de camp,mariscal de campo,polní maršál,Feldmarschall,szeryf polowy
fight,combattre,lucha,boj,kämpfen,walka
fire,feu,fuego,oheň,Feuer,ogień
fireteam,équipe de pompiers,equipo de bomberos,fireteam,Feuerwehrteam,fireteam
fleet,flotte,flota,vozový park,Flotte,flota
flotilla,flottille,flotilla,flotila,Flottille,flotylla
force,force,fuerza,síla,Kraft,siła
formation,formation,formación,formace,Bildung,formacja
fort,fort,fuerte,pevnost,fort,fort
fortification,fortification,fortificación,opevnění,Festung,fortyfikacja
front,avant,frente,přední,Vorderseite,przód
furlough,congé,permiso,dovolená,furlough,urlop
garrison,garnison,guarnición,posádka,Garnison,garnizon
general,général,general,obecně,allgemein,ogólny
Geneva Convention,Convention de Genève,Convención de Ginebra,Ženevská úmluva,Genfer Konvention,Konwencja genewska
grenade,grenade,granada,granát,Granate,granat
grenade launcher,lance-grenades,lanzagranadas,granátomet,Granatwerfer,granatnik
grunt,grognement,gruñido,grunt,grunzen,chrząknięcie
guerrilla,guérilla,guerrilla,guerilla,Guerrilla,partyzantka
gun,pistolet,arma,zbraň,Waffe,pistolet
gunner,tireur,artillero,střelec,Kanonier,rusznikarz
gunnery sergeant,sergent d'artillerie,sargento de artillería,seržant dělostřelectva,Artilleriefeldwebel,sierżant artylerii
gunpowder,poudre à canon,pólvora,střelný prach,Schießpulver,proch
headquarters,siège social,sede,ústředí,Hauptsitz,centrala
helmet,casque,casco,přilba,Helm,kask
honor,honneur,honor,čest,ehren,zaszczyt
hospital,l'hôpital,hospital,nemocnice,Krankenhaus,szpital
howitzer,obusier,obús,houfnice,Haubitze,haubica
infantry,infanterie,infantería,pěchota,Infanterie,piechota
injury,blessure,lesión,zranění,Verletzung,uraz
insignia,insigne,insignia,insignie,Insignien,insygnia
intelligence,intelligence,inteligencia,zpravodajství,Intelligenz,inteligencja
invade,envahir,invadir,napadnout,eindringen,inwazja
invasion,invasion,invasión,invaze,Invasion,inwazja
jeep,jeep,jeep,jeep,Jeep,jeep
jet,jet,jet,jet,jet,odrzutowiec
kill,tuer,matar,zabít,töten,zabić
lance corporal,caporal suppléant,cabo segundo,svobodník,Obergefreiter,kapral
leave,quitter,dejar,opustit,verlassen,urlop
lieutenant,lieutenant,teniente,poručík,Leutnant,porucznik
lose,perdre,perder,ztratit,verlieren,przegrać
machete,machette,machete,mačeta,Machete,maczeta
major,majeur,mayor,major,Haupt,główny
maneuver,manœuvre,maniobra,manévr,manövrieren,manewr
marines,marines,marines,námořní pěchota,Marinesoldaten,marines
marksman,tireur d'élite,tirador,marksman,Schütze,marksman
medal,médaille,medalla,medaile,Medaille,medal
medic,médical,médico,zdravotník,Medizin,medyk
mess hall,salle de réunion,comedor,jídelna,Messehalle,mesa
MIA,MIA,MIA,MIA,MIA,MIA
midshipman,midshipman (aspirant),m guardiamarina,midshipman,Fähnrich,midszypmen
military,militaire,militar,vojenský,Militär,wojsko
mine,mine,mía,důl,meine,kopalnia
missile,missile,misil,rakety,Rakete,pocisk
mortar,mortier,mortero,malta,Mörtel,zaprawa
munition,munition,munición,munice,munition,amunicja
musket,mousquet,mosquete,mušketa,Muskete,muszkiet
national security,sécurité nationale,eguridad nacional,národní bezpečnost,nationale Sicherheit,bezpieczeństwo narodowe
navy,marine,marina,námořnictvo,navy,marynarka
neutral,neutre,neutro,neutrální,neutral,neutralny
night-vision goggles,lunettes de vision nocturne,gafas de visión nocturna,brýle pro noční vidění,Nachtsichtbrille,gogle noktowizyjne
offense,offensives,delito,přestupek,Beleidigung,wykroczenie
officer,agent,oficial,důstojník,Offizier,oficer
ordinance,ordonnance,ordenanza,nařízení,Verordnung,rozporządzenie
parachute,parachute,paracaídas,padák,Fallschirm,spadochron
paratrooper,parachutiste,paracaidista,výsadkář,Fallschirmjäger,spadochroniarz
peace,paix,paz,mír,Frieden,pokój
peace treaty,traité de paix,tratado de paz,mírová smlouva,Friedensvertrag,traktat pokojowy
pentagon,pentagone,pentágono,pentagon,Fünfeck,pięciokąt
petty officer,quartier-maître,contramaestre,poddůstojník,Unteroffizier,bosman
plane,plan,plano,rovina,Ebene,samolot
platoon,peloton,pelotón,četa,Zug,pluton
post,poste,correo,příspěvek,Beitrag,post
POW,POW,POW,POW,POW,POW
prisoner of war,prisonnier de guerre,prisionero de guerra,válečný zajatec,Kriegsgefangener,jeniec wojenny
private,privés,privado,soukromé,privat,prywatny
PT boat,Bateau PT,Embarcación PT,Loď PT,PT Boot,Łódź PT
Purple Heart,Cœur pourpre,Corazón Púrpura,Purpurové srdce,Verwundetenabzeichen,Purpurowe Serce
quartermaster,maître d'équipage,intendente,quartermaster,Quartiermeister,kwatermistrz
radar,radar,radar,radar,Radar,radar
rank,rang,rango,hodnost,Rang,ranga
reconnoiter,reconnaître,reconocer,reconnoiter,auskundschaften,rekonesans
recruit,recruter,recluta,nábor,rekrutieren,rekrutacja
regiment,régiment,regimiento,pluk,Regiment,pułk
rescue,sauvetage,rescate,záchrana,Rettung,ratunek
reserves,réserves,reservas,rezervy,Reserven,rezerwy
retreat,retraite,retiro,ústup,Rückzug,rekolekcje
ribbon,ruban,cinta,stuha,Farbband,wstążka
rifle,fusil,rifle,puška,Gewehr,karabin
rocket artillery,artillerie à fusée,artillería de cohetes,raketové dělostřelectvo,Raketenartillerie,artyleria rakietowa
sabotage,sabotage,sabotaje,sabotáž,sabotieren,sabotaż
sailor,marin,marinero,námořník,Seemann,żeglarz
salute,saluer,saludar,pozdrav,grüßen,salut
salvo,salve,salvo,salva,Salve,salwa
seaman,marin,marinero,námořník,Seemann,marynarz
section,section,sección,sekce,Abschnitt,sekcja
sergeant,sergent,sargento,seržant,Unteroffizier,sierżant
service,service,servicio,služba,Dienst,usługa
shell,coquille,concha,shell,Shell,powłoka
shoot,tirer,disparar,střílet,schießen,strzelać
shot,tir,disparo,shot,Schuss,strzał
siege,siège,asedio,obléhání,Belagerung,oblężenie
sniper,sniper,francotirador,odstřelovač,Scharfschütze,snajper
soldier,soldat,soldado,voják,Soldat,żołnierz
spear,lance,lanza,oštěp,Speer,włócznia
specialist,spécialiste,especialista,specialista,Spezialist,specjalista
squad,équipe,escuadrón,oddíl,Kader,skład
squadron,escadron,escuadrón,letka,Geschwader,eskadra
staff,personnel,personal,zaměstnanci,Mitarbeiter,personel
star,étoile,estrella,hvězda,Stern,gwiazda
stockade,palissade,empalizada,stockade,Stockade,składowisko
submarine,sous-marin,submarino,ponorka,U-Boot,łódź podwodna
surrender,se rendre,entrega,vzdát se,überlassen,poddanie
tactical,tactique,táctico,taktické,taktisch,taktyczny
tactics,tactiques,táctica,taktika,Taktik,taktyka
tank,réservoir,depósito,nádrž,Tank,zbiornik
task force,groupe de travail,grupo de trabajo,pracovní skupina,Einsatzgruppe,grupa zadaniowa
theater,théâtre,teatro,divadlo,Theater,teatr
tomahawk,tomahawk,tomahawk,tomahawk,Tomahawk,tomahawk
torpedo,torpille,torpedo,torpédo,Torpedo,torpeda
troops,troupes,tropas,jednotky,Truppen,oddziały
truce,trêve,tregua,příměří,Waffenstillstand,rozejm
uniform,uniforme,uniforme,jednotný,einheitlich,jednolity
unit,unité,unidad,jednotka,Einheit,jednostka
veteran,vétéran,veterano,veterán,Veteran,weteran
volley,volley,volea,volley,Volley,salwa
war,guerre,guerra,válka,Krieg,wojna
warfare,guerre,guerra,válčení,Kriegsführung,działania wojenne
warrant officer,adjudant,oficial técnico,praporčík,Oberstabsfeldwebel,chorąży
warrior,guerrier,guerrero,válečník,krieger,wojownik
weapon,arme,arma,zbraň,Waffe,broń
win,gagner,ganar,vyhrát,gewinnen,zwycięstwo
wound,blessure,herida,rána,Wunde,rana
yeoman,yeoman,yeoman,yeoman,Yeoman,yeoman
Zulu time,Heure zoulou,Hora zulú,Zulu čas,Zulu-Zeit,Czas Zulu
