word,FR,ES,CS,DE,PL
trailer hitch,attelage de remorque,enganche de remolque,závěs přívěsu,Anhängerkupplung,zaczep przyczepy
transmission,transmission,transmisión,převodovka,Getriebe,przekładnia
trim,garniture,guarnecido,čalounění,Verkleidung,wykończenie
trip computer,ordinateur de bord,ordenador de viaje,palubní počítač,Bordcomputer,komputer pokładowy
trunk,coffre,maletero,kufr,Kofferraum,bagażnik
turbo charger,chargeur turbo,turbocompresor,turbodmychadlo,Turbolader,turbosprężarka
turn signal,clignotant,intermitente,směrovka,Blinker,kierunkowskaz
undercarriage,train de roulement,tren de rodaje,podvozek,Fahrgestell,podwozie
unleaded gas,gaz sans plomb,gasolina sin plomo,bezolovnatý benzín,bleifreies Benzin,gaz bezołowiowy
valve,vanne,válvula,ventil,Ventil,zawór
vents,évents,respiraderos,větrací otvory,Entlüftungen,odpowietrzniki
visor,visière,visera,stínítko,Visier,daszek
warning light,feu d'avertissement,luz de advertencia,výstražné světlo,Warnleuchte,światło ostrzegawcze
wheel,roue,rueda,kola,Rad,koło
wheel well,passage de roue,hueco de rueda,podběhy kol,Radkasten,nadkole
window,fenêtre,ventana,okna,Fenster,okno
windshield,pare-brise,parabrisas,čelní sklo,Windschutzscheibe,przednia szyba
windshield wiper,essuie-glace,limpiaparabrisas,stěrač čelního skla,Windschutzscheibenwischer,wycieraczka
