word,FR,ES,CS,DE,PL
terracotta,terre cuite,terracota,terakota,Terrakotta,terakota
thistle,chardon,cardo,bodlák,Distel,oset
tint,teinte,tinte,tint,Farbton,odcień
tomato,de tomate,tomate,rajčata,Tomate,pomidor
topaz,topaze,topacio,topaz,Topas,topaz
turquoise,turquoise,turquesa,tyrkysová,türkis,turkus
ultramarine,outremer,ultramar,ultramarín,ultramarinblau,ultramaryna
umber,nombre,umero,umber,umber,liczba
vermilion,vermillon,bermellón,vermilion,Zinnoberrot,cynober
violet,violet,violeta,fialová,violett,fiolet
viridian,viridienne,viridian,viridian,Viridian,viridian
wheat,blé,trigo,pšenice,Weizen,pszenica
white,blanc,blanco,bílá,weiß,biały
wisteria,glycine,glicinia,vistárie,Glyzinie,wisteria
yellow,jaune,amarillo,žlutá,gelb,żółty
