word,FR,ES,CS,DE,PL
loser,perdant,perdedor,loser,Verlierer,przegrany
luge,luge,luge,sáně,Rodeln,saneczkowy
lutz,lutz,lutz,lutz,lutz,lutz
major league,ligue majeure,liga mayor,první liga,große Liga,główna liga
mallet,maillet,mazo,palička,Schlägel,młotek
martial arts,arts martiaux,artes marciales,bojová umění,Kampfsportarten,sztuki walki
mat,mat,estera,mat,matte,mata
medal,médaille,medalla,medaile,Medaille,medal
minor league,ligue mineure,liga menor,nižší liga,kleinere Liga,niższa liga
mitt,mitt,mitt,mitt,mitt,rękawica
mouthguard,protège-dents,protector bucal,chránič zubů,Mundschutz,ochraniacz
move,se déplacer,mover,přesunout,bewegen.,ruch
movement,mouvement,movimiento,pohyb,Bewegung,ruch
MVP,MVP,MVP,MVP,MVP,MVP
net,net,red,net,netto,netto
no-hitter,no-hitter,no-hitter,no-hitter,no-hitter,no-hitter
Nordic skiing,Ski nordique,Esquí nórdico,klasické lyžování,Skilanglauf,Narciarstwo klasyczne
offense,offense,delito,přestupek,Offensive,wykroczenie
ollie,ollie,ollie,ollie,ollie,ollie
Olympics,Jeux olympiques,Olimpiadas,Olympijské hry,Olympische Spiele,Olimpiada
orienteering,orientation,orienteering,orientační běh,Orientierungslauf,bieg na orientację
out,sortir,fuera,out,aus,na zewnątrz
outfield,champ extérieur,campo,outfield,Außenfeld,pole zewnętrzne
outfielder,joueur de champ,jardinero,outfielder,Außenstürmer,pomocnik
paddle,pagaie,paleta,pádlo,Paddel,wiosło
paddleball,padel,pádel,paddleball,Paddelball,paddleball
paddling,pagayer,remando,pádlování,Paddeln,wiosłowanie
paintball,paintball,paintball,paintball,Paintball,paintball
parasailing,parachute ascensionnel,parasailing,parasailing,Parasailing,parasailing
parkour,parkour,parkour,parkour,Parkour,parkour
pentathlon,pentathlon,pentatlón,pětiboj,pentathlon,pięciobój
pickleball,pickleball,pickleball,pickleball,pickleball,pickleball
ping pong,ping pong,ping pong,ping pong,Ping-Pong,ping pong
pitch,terrain,paso,rozteč,Tonhöhe,skok
pitcher,lanceur,lanzador,džbán,Krug,miotacz
play,jouer,jugar,přehrát,spielen,gra
player,joueur,jugador,hráč,Spieler,gracz
playing,jouant,jugando,hraní,spielen.,grający
playoffs,les séries éliminatoires,playoffs,play-off,Playoffs,playoffy
pogo stick,bâton de pogo,palo de pogo,pogo stick,Springstab,drążek pogo
pole,pôle,polo,pól,Pol,słup
pole vault,saut à la perche,salto con pértiga,skok o tyči,Stabhochsprung,skok o tyczce
polo,polo,polo,polo,polo,polo
pool,piscine,piscina,bazén,Pool,basen
puck,palet,disco,puk,Puck,krążek
quarter,trimestre,trimestre,čtvrtletí,Quartal,kwartał
quarterback,quarterback,mariscal de campo,quarterback,Quarterback,rozgrywający
quiver,carquois,carcaj,quiver,Köcher,kołczan
race,course,carrera,závod,Ethnie,wyścig
racer,coureur,racer,závodník,rennfahrer,zawodnik
racewalking,marche athlétique,senderismo a pie,racewalking,racewalking,racewalking
racing,course,carreras,závodní,Rennsport,wyścigi
racket,raquette,raqueta,raketu,Schläger,rakieta
racquetball,racquetball,raquetbol,racquetball,Racquetball,racquetball
rafting,rafting,rafting,rafting,rafting,rafting
referee,arbitre,árbitro,rozhodčí,schiedsrichter,sędzia
relay,relais,relé,relé,Relais,przekaźnik
ride,rouler,paseo,jízda,Fahrt,jazda
riding,circonscription,montar a caballo,jízda na koni,Reiten,jazda
rink,rink,rink,kluziště,rink,lodowisko
rock climbing,escalade,escalada en roca,horolezectví,Klettern,wspinaczka skałkowa
roller skates,patins à roulettes,patines de ruedas,kolečkové brusle,Rollerskates,wrotki
roller skating,patinage à roulettes,patinaje sobre ruedas,jízda na kolečkových bruslích,Rollschuhlaufen,wrotki
row,rangée,fila,řádek,Zeile,rząd
rower,rieur,rower,veslař,ruder,wioślarz
rowing,rowing,rowing,veslování,rudern,wiosłowanie
rugby,rugby,rugby,rugby,Rugby,rugby
run,courir,ejecute,spustit,laufen.,bieg
runner,coureur,corredor,běžec,Läufer,biegacz
running,en cours,corriendo,běží,läuft,uruchomiony
sailing,navigation,navegando,plachtění,Segeln,żeglarstwo
score,score,puntuación,skóre,Ergebnis,wynik
scoreboard,tableau d'affichage,marcador,výsledková tabule,Anzeigetafel,tablica wyników
scuba,scaphandre,buceo,potápění,Tauchen,akwalung
scull,scull,scull,lebka,Skull,czaszka
sculling,godille,sculling,skulling,Skulling,sculling
shortstop,arrêt court,shortstop,shortstop,Shortstop,shortstop
shot put,lancer de poids,lanzamiento de peso,vrh koulí,Kugelstoßen,pchnięcie kulą
silver medal,médaille d'argent,medalla de plata,stříbrná medaile,Silbermedaille,srebrny medal
skate,patiner,skate,skate,Schlittschuhlaufen,łyżwa
skating rink,patinoire,pista de patinaje,kluziště,Eislaufbahn,lodowisko
skeleton,squelette,esqueleto,kostra,Skelett,szkielet
ski,ski,esquí,lyže,ski,narty
skier,skieur,esquiador,lyžař,Skifahrer,narciarz
skiing,ski,esquiar,lyžování,Skifahren,narciarstwo
slalom,slalom,eslalon,slalom,Slalom,slalom
sled,traîneau,trineo,sáně,Schlitten,sanki
sledder,luge,trineo,sáně,Schlitten,sanki
sledding,luge,trineo,sáňkování,Schlittenfahren,sanki
snorkeling,plongée en apnée,esnórquel,šnorchlování,Schnorcheln,snorkeling
snowboard,planche à neige,snowboard,snowboard,Snowboard,snowboard
snowboarder,snowboarder,snowboarder,snowboardista,Snowboarder,snowboardzista
snowboarding,snowboard,snowboard,snowboarding,Snowboarden,snowboard
snowshoeing,raquettes à neige,raquetas de nieve,sněžnice,Schneeschuhwandern,rakiety śnieżne
soccer,football,fútbol,fotbal,Fußball,piłka nożna
softball,softball,softball,softball,Softball,softball
somersault,saut périlleux,salto mortal,salto,Purzelbaum,salto
speed skating,patinage de vitesse,patinaje de velocidad,rychlobruslení,Eisschnelllauf,łyżwiarstwo szybkie
sport,sport,deporte,sport,Sport,sport
sportsmanship,esprit sportif,deportividad,sportovní chování,Sportlichkeit,sportowa postawa
squash,courge,calabaza,squash,Squash,squash
stadium,stade,estadio,stadion,Stadion,stadion
stick,bâton,palo,stick,Stock,kij
strike,grève,huelga,stávka,streiken,strajk
stroke,coup,carrera,mrtvice,Schlaganfall,udar
Sumo wrestling,Lutte sumo,Lucha de sumo,Zápas sumo,Sumo-Ringen,Zapasy sumo
surfer,surfeur,surfista,surfař,Surfer,surfer
surfing,surf,surf,surfování,Surfen,surfing
swim,nager,nadar,plavání,schwimmen,pływać
swimmer,nageur,nadador,plavec,Schwimmer,pływak
swimming,nager,natación,plavání,Schwimmen,pływanie
synchronized swimming,natation synchronisée,natación sincronizada,synchronizované plavání,Synchronschwimmen,Pływanie synchroniczne
table tennis,tennis de table,tenis de mesa,stolní tenis,Tischtennis,tenis stołowy
taekwondo,taekwondo,taekwondo,taekwondo,Taekwondo,taekwondo
tag,étiquette,etiqueta,tag,Tag,tag
target,cible,objetivo,cíl,Ziel,cel
team,équipe,equipo,tým,Team,zespół
teammate,coéquipier,compañero de equipo,spoluhráč,Teamkollege,kolega z drużyny
tee,tee,tee,tee,tee,koszulka
telemark skiing,ski télémark,esquí de telemark,telemarkové lyžování,Telemark-Skifahren,narciarstwo telemarkowe
tennis,tennis,tenis,tenis,Tennis,tenis
tetherball,tetherball,tetherball,tetherball,tetherball,tetherball
throw,jeter,tirar,hodit,werfen,rzut
throwing,lancer,lanzando,házení,Werfen,rzucanie
tie,lien,tie,vazba,Krawatte,remis
toboggan,toboggan,tobogán,tobogán,Schlitten,saneczkowy
track and field,athlétisme,atletismo,atletika a pole,Leichtathletik,lekkoatletyka
trampoline,trampoline,trampolín,trampolína,Trampolin,trampolina
triathlete,triathlète,triatleta,triatlonista,triathlet,triathlonista
triathlon,triathlon,triatlón,triatlon,Triathlon,triathlon
triple jump,triple saut,triple salto,trojitý skok,Dreisprung,trójskok
triple play,triple jeu,triple juego,trojí hra,Dreifachspiel,triple play
tug of war,lutte à la corde,tira y afloja,přetahování lanem,Tauziehen,przeciąganie liny
ultramarathon,ultramarathon,ultramaratón,ultramaraton,Ultramarathon,ultramaraton
ultramarathoner,ultramarathonien,ultramaratonista,ultramaratonec,Ultramarathonläufer,ultramaratończyk
umpire,arbitre,árbitro,rozhodčí,schiedsrichter,sędzia
unicycle,monocycle,monociclo,jednokolka,Einrad,monocykl
unicyclist,monocycliste,uniciclista,unicyklista,Einradfahrer,monocyklista
uniform,uniforme,uniforme,jednotný,einheitlich,jednolity
vault,voûte,bóveda,trezor,Gewölbe,skarbiec
vaulter,sauteur,bóveda,vaulter,vaulter,kulomiot
vaulting,voûte,bóveda,klenutí,Voltigieren,sklepienie
visiting team,équipe de visiteurs,equipo visitante,hostující tým,Gastmannschaft,zespół wizytujący
volley,volée,volea,volley,Volley,salwa
volley ball,volley-ball,voleibol,volejbalový míč,Volleyball,siatkówka
wakeboarding,wakeboarding,wakeboard,wakeboarding,Wakeboarden,wakeboarding
walk,marcher,caminar,procházka,gehen,spacer
walker,promeneur,walker,walker,.,piechur
walking,marcher,caminando,chůze,zu Fuß,chodzenie
water polo,water-polo,waterpolo,vodní pólo,Wasserball,piłka wodna
water ski,ski nautique,esquí acuático,vodní lyže,Wasserski,narty wodne
water skier,skieur nautique,esquiador acuático,vodní lyžař,Wasserskifahrer,narciarz wodny
water skiing,ski nautique,esquí acuático,vodní lyžování,Wasserski,narty wodne
weightlifter,haltérophile,levantador de pesas,vzpěrač,Gewichtheber,ciężarowiec
weightlifting,haltérophilie,halterofilia,vzpírání,Gewichtheben,podnoszenie ciężarów
weights,poids,pesos,váhy,Gewichte,wagi
wetsuit,combinaison,traje de neopreno,skafandr,Neoprenanzug,pianka
white water rafting,rafting en eaux vives,rafting en aguas bravas,rafting na divoké vodě,Wildwasser-Rafting,rafting
wicket,guichet,wicket,branka,wicket,furtka
win,gagner,win,vyhrát,gewinnen,zwycięstwo
windsurfer,véliplanchiste,windsurfista,windsurfer,Windsurfer,windsurfer
windsurfing,planche à voile,windsurf,windsurfing,Windsurfen,windsurfing
winner,vainqueur,ganador,vítěz,Gewinner,zwycięzca
winning,gagner,ganador,vítězný,gewinnen,zwycięski
World Cup,Coupe du monde,Mundial,Světový pohár,Weltmeisterschaft,Puchar Świata
World Series,Séries mondiales,Series Mundiales,Světová série,Weltmeisterschaft,World Series
wrestler,lutteur,luchador,zápasník,Ringer,zapaśnik
wrestling,lutte,lucha libre,wrestling,Ringen,zapasy
