word,FR,ES,CS,DE,PL
fruit fly,mouche des fruits,mosca de la fruta,ovocná muška,Fruchtfliege,muszka owocówka
gnat,gnat,mosquito,komár,Mücke,gnat
gossamer-winged butterfly,papillon à ailes gaufrées,mariposa de alas de gasa,motýl s křídlatkou,Hauchdünner Schmetterling,motyl o puszystych skrzydłach
grasshopper,sauterelle,saltamontes,luční kobylka,Heuschrecke,konik polny
green darner dragonfly,libellule du dard vert,libélula verde,vážka zelená,Grüne Keiljungfer,ważka darnera zielona
ground beetle,coléoptère du sol,escarabajo de tierra,brouk zemní,Laufkäfer,chrząszcz naziemny
grub,larve,grub,grub,grub,żarcie
gypsy moth,spongieuse,polilla gitana,cikánská můra,Schwammspinner,cyganka
hairstreak butterfly,papillon porte-queue,mariposa peinadora,motýl vláskatec,Haarsträubender Schmetterling,motyl włochacz
harlequin bug,punaise arlequin,bicho arlequín,brouk harlekýn,Raubwanze,robak arlekin
honeybee,abeille,abeja,včela medonosná,Honigbiene,pszczoła miodna
hornet,frelon,avispón,sršeň,Hornisse,szerszeń
horse fly,mouche à cheval,mosca del caballo,koňská moucha,Pferdefliege,mucha końska
house fly,mouche domestique,mosca doméstica,moucha domácí,Stubenfliege,mucha domowa
hover fly,vol stationnaire,volar en el aire,vznášet se,Schwebeflug,zawisnąć w powietrzu
imago,imago,imago,imago,imago,imago
insect,insecte,insecto,hmyz,Insekt,owad
Japanese beetle,Coléoptère japonais,Escarabajo japonés,Japonský brouk,Japanischer Käfer,Chrząszcz japoński
Julia butterfly,Papillon Julia,Mariposa Julia,Motýl Julia,Julia Schmetterling,Motyl Julia
jumping bean,haricot sauteur,judía saltarina,skákající fazole,Puffbohne,skacząca fasola
June bug,Bogue du mois de juin,Error de junio,Červnová chyba,Juni-Wanze,Czerwcowy błąd
katydid,katyde,katydid,katydid,katydid,katydid
kissing bug,insecte embrasseur,bicho besucón,Líbající brouk,Raubwanze,całujący robal
lacewing,chrysanthème,lacewing,lacewing,Florfliege,lacewing
ladybug,coccinelle,mariquita,beruška,Marienkäfer,biedronka
larva,larve,larva,larva,Larve,larwa
leafcutter ant,fourmi coupeuse de feuilles,hormiga cortadora de hojas,mravenec listonoh,Blattschneiderameise,mrówka liściożerna
leafhopper,cicadelle,chicharrita,listonoš,Heuschrecke,skoczek
lice,lice,piojos,vši,Läuse,wszy
lightning bug,insecte foudroyant,luciérnaga,chyba blesku,Glühwürmchen,błąd błyskawicy
locust,sauterelle,langosta,kobylky,Heuschrecke,szarańcza
longhorn beetle,longicorne,escarabajo de cuernos largos,brouk dlouhozobka,Bockkäfer,chrząszcz kózkowaty
louse,poux,piojo,veš,louse,wesz
luna moth,luna moth,polilla luna,luna moth,Luna-Motte,ćma luna
maggot,asticot,gusano,larva,Maden,larwa
mantid,mante,mantid,mantid,Die Gottesanbeterin,modliszka
mantis,mante,mantis,kudlanka nábožná,Gottesanbeterin,modliszka
mayfly,éphémère,mosca de mayo,mayfly,Eintagsfliege,jętka
meadowhawk,faucon des prés,meadowhawk,meadowhawk,wiesenhabicht,jastrząb łąkowy
mealworm,ver de farine,gusano de la harina,mouční červi,Mehlwurm,mącznik
metalmark butterfly,papillon en métal,marca metálica mariposa,metalmark butterfly,Metallmarke Schmetterling,motyl metalmark
metamorphosis,métamorphose,metamorfosis,metamorfóza,Metamorphose,metamorfoza
midge,moucheron,jején,midge,Mücke,muszka
milkweed bug,punaise de l'asclépiade,insecto del algodoncillo,brouk mléč,Seidenraupenwanze,pluskwa mleczna
monarch,monarque,monarca,monarcha,Monarch,monarcha
morpho,morpho,morfo,morfo,morpho,morfo
mosquito,moustique,mosquito,komár,Stechmücke,komar
moth,mite,polilla,můry,Motte,ćma
nymph,nymphe,ninfa,nymfa,nymphe,nimfa
Oregon silverspot butterfly,Papillon de l'Oregon,Mariposa silverspot de Oregón,Motýl oregonský stříbřitý,Oregon-Silberfleck-Schmetterling,Motyl modraszek oregoński
owl butterfly,hibou papillon,mariposa búho,motýl sova,Eule Schmetterling,motyl sowa
painted lady butterfly,papillon dame peinte,mariposa dama pintada,motýl babočka malířská,Distelfalter,motyl malowana dama
paper wasp,guêpe à papier,avispa de papel,papírová vosa,Papierwespe,osa papierowa
planthopper,sauterelle,saltamontes,planthopper,Heuschrecke,planthopper
pond skater,patineur d'étang,patinador de estanque,rybník bruslař,Schlittschuhläufer,łyżwiarz stawowy
praying mantid,mante religieuse,mantis religiosa,kudlanka nábožná,Gottesanbeterin,modliszka
praying mantis,mante religieuse,mantis religiosa,kudlanka nábožná,Gottesanbeterin,modliszka
pupa,chrysalide,pupa,kukla,Puppe,poczwarka
Queen Alexandra's birdwing butterfly,Le papillon de la reine Alexandra,Mariposa ala de pájaro de la Reina Alexandra,Motýl ptačinec královny Alexandry,Königin-Alexandra-Vogelflügler,Motyl skrzydłokwiat królowej Aleksandry
roach,cafard,cucaracha,šváb,Rotauge,płoć
robber fly,vol à main armée,mosca ladrona,moucha lupič,Raubfliege,mucha rabusia
scarab,scarabée,escarabajo,skarabeus,Skarabäus,skarabeusz
silkworm,ver à soie,gusano de seda,bource morušového,Seidenraupen,jedwabnik
silverfish,lépisme,pececillo de plata,stříbrná rybka,Silberfischchen,ryba srebrna
skipper,skipper,patrón,kapitán,Skipper,sternik
snout butterfly,papillon à museau,mariposa hocicuda,motýl s čenichem,Rüssel-Falterfisch,motyl pyskaty
spittlebug,crachoir,salivazo,spittlebug,Spucknapf,spittlebug
springtail,queue de printemps,colémbolo,pružinový ocas,Frühlingsschwanz,ogon wiosenny
stag beetle,le cerf-volant,escarabajo ciervo,jelenovití brouci,Hirschkäfer,jelonek rogacz
stink bug,punaise terne,chinche apestoso,smradlavý brouk,Stinkwanze,pluskwa śmierdząca
stonefly,mouche de pierre,mosca de piedra,stonefly,Steinfliege,muchomor
sulphur butterfly,papillon de soufre,mariposa del azufre,sirný motýl,Schwefelfalter,motyl siarkowy
swallowtail butterfly,papillon hirondelle,mariposa cola de golondrina,motýl vlaštovčí ocásek,Schwalbenschwanz-Schmetterling,motyl jaskółczy ogon
termite,termite,termitas,termitiště,Termiten,termit
thrip,thrip,trips,thrip,Thripse,potok
tiger beetle,cicindèle,escarabajo tigre,tygří brouk,Tigerkäfer,chrząszcz tygrysi
tiger moth,mite tigrée,polilla tigre,můra tygrovaná,Tigermotte,ćma tygrysia
tsetse fly,mouche tsé-tsé,mosca tsetsé,moucha tse-tse,Tsetsefliege,mucha tsetse
Ulysses butterfly,Papillon d'Ulysse,Ulises mariposa,Odysseův motýl,Ulysses Schmetterling,Motyl Ulisses
viceroy butterfly,papillon vice-roi,mariposa virrey,motýl viceroy,Vizekönig-Falterfisch,motyl wicekróla
walking stick,bâton de marche,bastón,vycházková hůl,Gehstock,laska
wasp,wasp,avispa,vosy,Wespe,osa
water boatman,batelier de l'eau,barquero de agua,vodák,Wasserschiffer,wodniak
water bug,insecte aquatique,bicho de agua,vodní brouk,Wasserwanze,robak wodny
water strider,strider de l'eau,transeúnte acuático,vodní jezdec,Wasserläufer,wodny strider
weevil,charançon,gorgojo,weevil,Rüsselkäfer,wołek
wood nymph butterfly,papillon nymphe des bois,mariposa ninfa del bosque,motýl lesní nymfa,Waldnymphenfalter,motyl nimfa drzewna
wood-borer,foreur de bois,taladro de madera,dřevoobráběcí stroj,Holzbohrer,drwal
woolly bear caterpillar,chenille de l'ours laineux,oruga del oso lanudo,housenka medvídka vlnatého,Wollmilchsau-Raupe,gąsienica niedźwiedzia włochatego
yellow-white butterfly,papillon jaune-blanc,mariposa amarilla-blanca,žlutobílý motýl,gelb-weißer Schmetterling,żółto-biały motyl
yellowjacket,gilet jaune,chaqueta amarilla,yellowjacket,Gelbwesten,żółta kurtka
zebra longwing butterfly,papillon zébré,mariposa ala larga cebra,motýl zebřička dlouhokřídlá,Zebra-Langflügelfalter,motyl długoskrzydły zebra
zebra swallowtail butterfly,papillon zébré,mariposa cola de golondrina cebra,motýl vlaštovka zebřička,Zebra-Schwalbenschwanz-Schmetterling,motyl jaskółczy ogon zebra
