word,FR,ES,CS,DE,PL
jessamine,jessamine,jessamine,jessamine,jessamine,jessamina
Johnny-jump-up,Johnny-jump-up,Johnny-jump-up,Johnny-jump-up,Johnny-jump-up,Johnny-jump-up
jonquil,jonquille,junquillo,jonquil,jonquil,jonquil
kangaroo paw,patte de kangourou,pata de canguro,klokaní tlapa,Kängurupfote,łapa kangura
lady's slipper,chausson de dame,zapatilla de dama,dámský střevíček,Frauenschuh,pantofel damski
lantana,lantane,lantana,lantana,lantana,lantana
larkspur,alouette,espuela de caballero,larkspur,Rittersporn,ostróżka
laurel,laurier,laurel,vavřín,Lorbeer,laur
lavender,lavande,lavanda,levandule,lavendel,lawenda
lilac,lilas,lila,lila,lila,liliowy
lily,lys,lirio,lily,lily,lilia
lily-of-the-valley,muguet,lirio del valle,lily-of-the-valley,Maiglöckchen,lilia doliny
magnolia,magnolia,magnolia,magnólie,Magnolie,magnolia
mallow,mauve,malva,sléz,Malve,malwa
marigold,marguerite,caléndula,měsíček lékařský,Ringelblume,nagietek
mayflower,fleur de mai,mayflower,mayflower,mayflower,mayflower
mimosa,mimosa,mimosa,mimosa,Mimose,mimoza
mistletoe,gui,muérdago,jmelí,Mistel,jemioła
mock orange,faux orange,naranja simulada,falešná oranžová,Scheinorange,udawany pomarańczowy
morning glory,gloire du matin,gloria de la mañana,ranní sláva,Morgenlatte,poranna chwała
mountain laurel,laurier de montagne,laurel de montaña,horský vavřín,Berglorbeer,laur górski
myrtle,myrte,mirto,myrta,Myrte,mirt
narcissus,narcisse,narciso,narcis,Narzisse,narcyz
nasturtium,capucine,capuchina,nasturtium,Kapuzinerkresse,nasturcja
oleander,laurier-rose,adelfa,oleandr,oleander,oleander
orange blossom,fleur d'oranger,azahar,pomerančový květ,Orangenblüte,kwiat pomarańczy
orchid,orchidée,orquídea,orchidej,orchidee,orchidea
pansy,pensée,pensamiento,maceška,Stiefmütterchen,bratek
pasque flower,fleur de pasque,flor de pascua,květ paseky,Wiesenschaumkraut,kwiat sasanki
passionflower,passiflore,pasiflora,passionflower,Passionsblume,passionflower
peach blossom,fleur de pêcher,flor de melocotón,broskvový květ,Pfirsichblüte,kwiat brzoskwini
peony,pivoine,peonía,pivoňka,Pfingstrose,piwonia
petal,pétale,pétalo,okvětní lístek,Blütenblatt,płatek
phlox,phlox,phlox,phlox,Phlox,floks
plumeria,plumeria,plumeria,plumérie,Plumeria,plumeria
poinsettia,poinsettia,poinsettia,poinsettia,Weihnachtsstern,poinsecja
poppy,coquelicot,amapola,mák,Mohn,mak
primrose,primevère,prímula,primrose,Primel,pierwiosnek
pussy willow,saule à feuilles étroites,sauce chocho,vrba kočičí,Weidenkätzchen,wierzba cipka
Queen Anne's lace,Dentelle de la reine Anne,Encaje de la Reina Ana,Krajka královny Anny,Queen Anne's lace,Koronka królowej Anny
ranunculus,renoncule,ranúnculo,ranunculus,ranunkel,ranunculus
rhododendron,rhododendron,rododendro,rododendron,rhododendron,rododendron
rose,rose,rosa,rose,rose,róża
safflower,carthame,cártamo,světlice barvířská,Färberdistel,krokosz barwierski
sego lily,lys de ségo,lirio de sego,sego lily,Segellilie,lilia sego
sepal,sépale,sépalo,sepal,Kelchblatt,przegroda
snapdragon,muflier,snapdragon,snapdragon,snapdragon,lwia paszcza
stock,stock,stock,zásoby,Aktie,zapas
sunflower,tournesol,girasol,slunečnice,Sonnenblume,słonecznik
sweet pea,pois de senteur,guisante de olor,sladký hrášek,Platterbse,słodki groszek
thistle,chardon,cardo,bodlák,Distel,oset
tickseed,tique,garrapata,klíšťová semínka,Zeckensamen,tickseed
tiger lily,lys tigré,lirio tigre,tygří lilie,Tigerlilie,lilia tygrysia
trillium,trillium,trillium,trillium,Trillium,trillium
tulip,tulipe,tulipán,tulipán,Tulpe,tulipan
Venus flytrap,Trappe à mouches de Vénus,Venus atrapamoscas,Mucholapka venušina,Venusfliegenfalle,Muchołówka
veronica,veronica,veronica,veronica,veronica,weronika
vetch,vesce,veza,vikev,Wicke,wyka
violet,violet,violeta,fialová,violett,fiolet
wallflower,fleur de muraille,alhelí,wallflower,Mauerblümchen,wallflower
wild prairie rose,rosier sauvage de prairie,rosa silvestre de la pradera,divoká prérijní růže,Präriewildrose,dzika róża preriowa
wildflowers,fleurs sauvages,flores silvestres,divoké květiny,Wildblumen,dzikie kwiaty
wisteria,glycine,glicinia,vistárie,Glyzinie,wisteria
wolfsbane,aconit,acónito,wolfsbane,Eisenhut,wilcza zmora
yucca flower,fleur de yucca,flor de yuca,květ juky,Yucca-Blume,kwiat juki
zinnia,zinnia,zinnia,zinnia,Zinnie,cynia
